asset_id,warehouse_id,asset_type,state,maintenance_state,controller_version
DC-01-CONVEYOR-01,DC-01,CONVEYOR,AVAILABLE,CLEAR,4.9
DC-01-CONVEYOR-02,DC-01,CONVEYOR,DEGRADED,CLEAR,2.8
DC-01-CONVEYOR-03,DC-01,CONVEYOR,AVAILABLE,CLEAR,6.5
DC-01-CONVEYOR-04,DC-01,CONVEYOR,AVAILABLE,CLEAR,1.9
DC-01-CONVEYOR-05,DC-01,CONVEYOR,AVAILABLE,CLEAR,3.7
DC-01-CONVEYOR-06,DC-01,CONVEYOR,AVAILABLE,DUE,6.0
DC-01-CONVEYOR-07,DC-01,CONVEYOR,AVAILABLE,CLEAR,3.4
DC-01-CONVEYOR-08,DC-01,CONVEYOR,AVAILABLE,OVERDUE,5.5
DC-01-CONVEYOR-09,DC-01,CONVEYOR,AVAILABLE,CLEAR,6.4
DC-01-CONVEYOR-10,DC-01,CONVEYOR,AVAILABLE,CLEAR,6.6
DC-01-SORTER-01,DC-01,SORTER,AVAILABLE,CLEAR,5.6
DC-01-SORTER-02,DC-01,SORTER,AVAILABLE,DUE,6.9
DC-01-SORTER-03,DC-01,SORTER,DOWN,CLEAR,7.8
DC-01-ASRS-01,DC-01,ASRS,AVAILABLE,CLEAR,7.7
DC-01-ASRS-02,DC-01,ASRS,AVAILABLE,CLEAR,2.1
DC-01-CHARGER-01,DC-01,CHARGER,AVAILABLE,DUE,3.9
DC-01-CHARGER-02,DC-01,CHARGER,AVAILABLE,CLEAR,4.7
DC-01-CHARGER-03,DC-01,CHARGER,AVAILABLE,CLEAR,5.8
DC-01-CHARGER-04,DC-01,CHARGER,AVAILABLE,CLEAR,7.4
DC-01-CHARGER-05,DC-01,CHARGER,AVAILABLE,CLEAR,3.1
DC-01-CHARGER-06,DC-01,CHARGER,AVAILABLE,CLEAR,4.9
DC-01-CHARGER-07,DC-01,CHARGER,DEGRADED,CLEAR,3.2
DC-01-CHARGER-08,DC-01,CHARGER,AVAILABLE,CLEAR,5.2
DC-01-PACK_STATION-01,DC-01,PACK_STATION,AVAILABLE,OVERDUE,5.3
DC-01-PACK_STATION-02,DC-01,PACK_STATION,AVAILABLE,OVERDUE,6.5
DC-01-PACK_STATION-03,DC-01,PACK_STATION,AVAILABLE,CLEAR,7.6
DC-01-PACK_STATION-04,DC-01,PACK_STATION,AVAILABLE,CLEAR,7.2
DC-01-PACK_STATION-05,DC-01,PACK_STATION,AVAILABLE,CLEAR,5.8
DC-01-PACK_STATION-06,DC-01,PACK_STATION,AVAILABLE,DUE,3.0
DC-01-PACK_STATION-07,DC-01,PACK_STATION,AVAILABLE,CLEAR,4.8
DC-01-PACK_STATION-08,DC-01,PACK_STATION,DOWN,CLEAR,1.4
DC-01-PACK_STATION-09,DC-01,PACK_STATION,AVAILABLE,CLEAR,7.2
DC-01-PACK_STATION-10,DC-01,PACK_STATION,AVAILABLE,CLEAR,3.9
DC-01-PACK_STATION-11,DC-01,PACK_STATION,AVAILABLE,CLEAR,3.6
DC-01-PACK_STATION-12,DC-01,PACK_STATION,AVAILABLE,CLEAR,7.5
DC-01-DOCK_DOOR-01,DC-01,DOCK_DOOR,AVAILABLE,CLEAR,4.7
DC-01-DOCK_DOOR-02,DC-01,DOCK_DOOR,DEGRADED,CLEAR,3.1
DC-01-DOCK_DOOR-03,DC-01,DOCK_DOOR,AVAILABLE,CLEAR,4.6
DC-01-DOCK_DOOR-04,DC-01,DOCK_DOOR,DOWN,CLEAR,4.7
DC-01-DOCK_DOOR-05,DC-01,DOCK_DOOR,AVAILABLE,CLEAR,1.0
DC-01-DOCK_DOOR-06,DC-01,DOCK_DOOR,AVAILABLE,CLEAR,5.5
DC-01-DOCK_DOOR-07,DC-01,DOCK_DOOR,AVAILABLE,CLEAR,1.4
DC-01-DOCK_DOOR-08,DC-01,DOCK_DOOR,AVAILABLE,CLEAR,5.5
DC-01-DOCK_DOOR-09,DC-01,DOCK_DOOR,AVAILABLE,CLEAR,3.7
DC-01-DOCK_DOOR-10,DC-01,DOCK_DOOR,AVAILABLE,CLEAR,3.2
DC-01-VISION_GATE-01,DC-01,VISION_GATE,AVAILABLE,CLEAR,2.2
DC-01-VISION_GATE-02,DC-01,VISION_GATE,AVAILABLE,CLEAR,4.1
DC-01-VISION_GATE-03,DC-01,VISION_GATE,DEGRADED,CLEAR,6.6
DC-01-VISION_GATE-04,DC-01,VISION_GATE,AVAILABLE,CLEAR,3.8
DC-01-VISION_GATE-05,DC-01,VISION_GATE,AVAILABLE,CLEAR,7.0
DC-01-VISION_GATE-06,DC-01,VISION_GATE,AVAILABLE,OVERDUE,6.0
DC-02-CONVEYOR-01,DC-02,CONVEYOR,AVAILABLE,CLEAR,5.1
DC-02-CONVEYOR-02,DC-02,CONVEYOR,AVAILABLE,DUE,2.0
DC-02-CONVEYOR-03,DC-02,CONVEYOR,AVAILABLE,CLEAR,6.2
DC-02-CONVEYOR-04,DC-02,CONVEYOR,AVAILABLE,OVERDUE,7.6
DC-02-CONVEYOR-05,DC-02,CONVEYOR,AVAILABLE,CLEAR,2.9
