warehouse_id,shift,planned_workers,actual_workers,certified_robot_operators,pack_staff,exception_handlers
DC-01,1,52,43,9,18,5
DC-01,2,56,81,19,40,6
DC-01,3,62,69,27,26,9
DC-02,1,117,114,14,24,6
DC-02,2,117,90,30,16,2
DC-02,3,78,93,20,32,2
DC-03,1,48,76,14,26,5
DC-03,2,54,111,9,37,10
DC-03,3,104,57,26,29,4
DC-04,1,63,72,17,21,2
DC-04,2,89,92,24,17,6
DC-04,3,88,106,17,34,5
DC-05,1,55,57,29,28,5
DC-05,2,109,118,30,19,4
DC-05,3,95,84,23,15,5
DC-06,1,112,114,15,36,3
DC-06,2,54,66,25,26,2
DC-06,3,62,112,24,26,5
DC-07,1,102,98,18,19,10
DC-07,2,81,111,19,37,10
DC-07,3,70,109,16,38,5
DC-08,1,111,55,16,39,4
DC-08,2,66,87,8,41,5
DC-08,3,59,43,16,45,2
DC-09,1,114,47,14,14,9
DC-09,2,109,91,13,26,9
DC-09,3,102,45,20,40,4
DC-10,1,50,118,18,45,6
DC-10,2,81,114,28,34,7
DC-10,3,74,115,16,27,9
DC-11,1,113,92,15,38,9
DC-11,2,68,73,23,16,3
DC-11,3,113,72,19,26,3
DC-12,1,57,57,10,35,7
DC-12,2,73,44,27,44,5
DC-12,3,73,73,22,24,3
DC-13,1,78,98,14,18,8
DC-13,2,98,94,22,42,5
DC-13,3,93,65,15,22,2
DC-14,1,99,49,20,13,10
DC-14,2,50,111,29,29,4
DC-14,3,99,106,24,44,9
DC-15,1,48,104,22,26,2
DC-15,2,67,63,28,22,8
DC-15,3,119,73,15,45,10
DC-16,1,62,97,16,13,3
DC-16,2,54,42,27,27,4
DC-16,3,94,47,16,14,4
DC-17,1,95,57,21,37,8
DC-17,2,58,58,12,32,3
DC-17,3,95,58,11,43,8
DC-18,1,54,47,13,44,10
DC-18,2,90,46,29,27,7
DC-18,3,85,68,27,24,4
