work_order_id,robot_id,warehouse_id,cmms_status,fleet_availability,issue,opened_at,safety_release_recorded
WO-000001,RBT-0673,DC-18,OPEN,AVAILABLE,wheel_wear,2026-08-17T06:00:00,Y
WO-000002,RBT-0322,DC-08,CLOSED,UNAVAILABLE,preventive_maintenance,2026-08-13T06:00:00,Y
WO-000003,RBT-0161,DC-04,PLANNED,AVAILABLE,wheel_wear,2026-08-14T06:00:00,Y
WO-000004,RBT-0364,DC-09,OPEN,UNAVAILABLE,preventive_maintenance,2026-08-17T06:00:00,Y
WO-000005,RBT-0625,DC-16,PLANNED,UNAVAILABLE,scanner_fault,2026-08-13T06:00:00,N
WO-000006,RBT-0347,DC-09,OPEN,UNAVAILABLE,preventive_maintenance,2026-09-02T06:00:00,N
WO-000007,RBT-0126,DC-04,IN_PROGRESS,UNAVAILABLE,preventive_maintenance,2026-08-21T06:00:00,Y
WO-000008,RBT-0163,DC-04,OPEN,AVAILABLE,drive_fault,2026-08-10T06:00:00,Y
WO-000009,RBT-0152,DC-04,CLOSED,AVAILABLE,battery_degradation,2026-08-10T06:00:00,Y
WO-000010,RBT-0644,DC-17,IN_PROGRESS,UNAVAILABLE,lidar_calibration,2026-08-26T06:00:00,Y
WO-000011,RBT-0092,DC-03,OPEN,AVAILABLE,preventive_maintenance,2026-08-08T06:00:00,Y
WO-000012,RBT-0190,DC-05,OPEN,AVAILABLE,wheel_wear,2026-08-04T06:00:00,N
WO-000013,RBT-0670,DC-18,IN_PROGRESS,AVAILABLE,scanner_fault,2026-08-19T06:00:00,Y
WO-000014,RBT-0022,DC-01,OPEN,AVAILABLE,battery_degradation,2026-08-30T06:00:00,Y
WO-000015,RBT-0623,DC-16,PLANNED,AVAILABLE,drive_fault,2026-08-18T06:00:00,N
WO-000016,RBT-0631,DC-16,CLOSED,AVAILABLE,wheel_wear,2026-08-29T06:00:00,Y
WO-000017,RBT-0440,DC-11,CLOSED,UNAVAILABLE,lidar_calibration,2026-08-09T06:00:00,Y
WO-000018,RBT-0555,DC-14,IN_PROGRESS,AVAILABLE,drive_fault,2026-08-10T06:00:00,Y
WO-000019,RBT-0641,DC-17,IN_PROGRESS,AVAILABLE,drive_fault,2026-09-04T06:00:00,N
WO-000020,RBT-0511,DC-13,OPEN,AVAILABLE,lidar_calibration,2026-08-20T06:00:00,Y
WO-000021,RBT-0028,DC-01,PLANNED,AVAILABLE,preventive_maintenance,2026-08-14T06:00:00,Y
WO-000022,RBT-0016,DC-01,PLANNED,AVAILABLE,scanner_fault,2026-08-04T06:00:00,Y
