robot_id,warehouse_id,robot_type,vendor,fleet_id,firmware,battery_soc,battery_soh,health_status,payload_kg,safety_cert_status,calibration_status,connectivity
RBT-0001,DC-01,AMR,RoboFlow,DC-01-F2,4.8.9,72,82,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0002,DC-01,TUGGER,RoboFlow,DC-01-F2,2.5.1,87,96,DEGRADED,1500,VALID,VALID,ONLINE
RBT-0003,DC-01,AGV,RoboFlow,DC-01-F2,3.4.2,31,70,HEALTHY,500,VALID,VALID,ONLINE
RBT-0004,DC-01,AMR,RoboFlow,DC-01-F4,3.5.2,88,99,HEALTHY,100,VALID,VALID,ONLINE
RBT-0005,DC-01,AMR,RoboFlow,DC-01-F3,2.3.5,100,98,MAINTENANCE,250,VALID,VALID,ONLINE
RBT-0006,DC-01,CASE_PICKER,RoboFlow,DC-01-F2,2.2.5,87,90,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0007,DC-01,FORK_AMR,RoboFlow,DC-01-F1,1.5.6,31,70,HEALTHY,100,EXPIRED,VALID,ONLINE
RBT-0008,DC-01,PALLET_MOVER,RoboFlow,DC-01-F3,2.7.2,28,85,DEGRADED,100,VALID,VALID,ONLINE
RBT-0009,DC-01,FORK_AMR,RoboFlow,DC-01-F1,3.4.1,86,68,HEALTHY,250,VALID,DUE,ONLINE
RBT-0010,DC-01,TUGGER,RoboFlow,DC-01-F1,2.1.6,24,97,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0011,DC-01,FORK_AMR,RoboFlow,DC-01-F2,2.5.4,91,89,DEGRADED,100,EXPIRED,VALID,INTERMITTENT
RBT-0012,DC-01,PALLET_MOVER,RoboFlow,DC-01-F2,4.5.4,77,94,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0013,DC-01,AGV,RoboFlow,DC-01-F3,2.5.2,41,92,DEGRADED,1000,VALID,OVERDUE,ONLINE
RBT-0014,DC-01,PALLET_MOVER,RoboFlow,DC-01-F1,2.8.4,62,88,HEALTHY,250,VALID,OVERDUE,INTERMITTENT
RBT-0015,DC-01,FORK_AMR,RoboFlow,DC-01-F2,3.9.6,8,96,MAINTENANCE,500,VALID,DUE,ONLINE
RBT-0016,DC-01,FORK_AMR,RoboFlow,DC-01-F3,4.8.4,43,93,MAINTENANCE,1500,VALID,VALID,ONLINE
RBT-0017,DC-01,PALLET_MOVER,RoboFlow,DC-01-F2,2.2.5,19,94,HEALTHY,100,VALID,VALID,ONLINE
RBT-0018,DC-01,CASE_PICKER,RoboFlow,DC-01-F4,4.6.3,69,95,HEALTHY,100,VALID,VALID,ONLINE
RBT-0019,DC-01,FORK_AMR,RoboFlow,DC-01-F1,4.3.1,13,84,MAINTENANCE,500,VALID,VALID,ONLINE
RBT-0020,DC-01,TUGGER,RoboFlow,DC-01-F1,1.6.5,47,85,HEALTHY,100,EXPIRED,VALID,INTERMITTENT
RBT-0021,DC-01,FORK_AMR,RoboFlow,DC-01-F3,2.1.0,28,71,HEALTHY,100,EXPIRED,VALID,ONLINE
RBT-0022,DC-01,CASE_PICKER,RoboFlow,DC-01-F2,4.6.9,75,80,DEGRADED,500,VALID,VALID,ONLINE
RBT-0023,DC-01,TUGGER,RoboFlow,DC-01-F3,1.8.2,23,97,DEGRADED,1000,VALID,VALID,OFFLINE
RBT-0024,DC-01,PALLET_MOVER,RoboFlow,DC-01-F3,3.4.9,69,73,DEGRADED,250,VALID,VALID,INTERMITTENT
RBT-0025,DC-01,FORK_AMR,RoboFlow,DC-01-F2,1.0.7,84,94,HEALTHY,100,VALID,VALID,INTERMITTENT
RBT-0026,DC-01,AGV,RoboFlow,DC-01-F2,1.0.9,85,82,DEGRADED,500,VALID,VALID,ONLINE
RBT-0027,DC-01,AMR,RoboFlow,DC-01-F2,4.5.1,95,100,MAINTENANCE,250,VALID,VALID,ONLINE
RBT-0028,DC-01,FORK_AMR,RoboFlow,DC-01-F1,2.1.6,25,89,HEALTHY,1500,VALID,VALID,OFFLINE
RBT-0029,DC-01,FORK_AMR,RoboFlow,DC-01-F4,2.0.0,40,87,DEGRADED,1500,VALID,VALID,ONLINE
RBT-0030,DC-01,TUGGER,RoboFlow,DC-01-F3,4.9.7,8,75,HEALTHY,1500,VALID,VALID,ONLINE
RBT-0031,DC-01,CASE_PICKER,RoboFlow,DC-01-F1,4.1.6,81,87,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0032,DC-01,AGV,RoboFlow,DC-01-F2,3.0.4,66,72,HEALTHY,1000,EXPIRED,VALID,INTERMITTENT
RBT-0033,DC-01,CASE_PICKER,RoboFlow,DC-01-F2,4.4.7,90,96,HEALTHY,100,VALID,VALID,ONLINE
RBT-0034,DC-01,CASE_PICKER,RoboFlow,DC-01-F4,3.9.7,85,95,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0035,DC-01,FORK_AMR,RoboFlow,DC-01-F3,4.9.9,53,72,HEALTHY,250,VALID,DUE,ONLINE
RBT-0036,DC-01,CASE_PICKER,RoboFlow,DC-01-F4,3.8.7,98,83,MAINTENANCE,1500,VALID,VALID,ONLINE
RBT-0037,DC-01,TUGGER,RoboFlow,DC-01-F1,1.4.3,84,72,HEALTHY,250,VALID,DUE,ONLINE
RBT-0038,DC-01,TUGGER,RoboFlow,DC-01-F2,4.4.6,76,97,HEALTHY,500,VALID,DUE,INTERMITTENT
RBT-0039,DC-01,PALLET_MOVER,RoboFlow,DC-01-F3,2.4.6,26,73,HEALTHY,100,VALID,VALID,ONLINE
RBT-0040,DC-01,TUGGER,RoboFlow,DC-01-F3,3.8.4,42,92,HEALTHY,250,VALID,VALID,ONLINE
RBT-0041,DC-01,PALLET_MOVER,RoboFlow,DC-01-F3,4.0.9,67,82,MAINTENANCE,250,EXPIRED,VALID,ONLINE
RBT-0042,DC-01,AMR,RoboFlow,DC-01-F3,3.8.4,16,75,HEALTHY,100,VALID,VALID,ONLINE
RBT-0043,DC-02,TUGGER,MoveIQ,DC-02-F2,3.9.0,95,96,DEGRADED,500,VALID,VALID,OFFLINE
RBT-0044,DC-02,AGV,MoveIQ,DC-02-F2,2.1.4,63,73,HEALTHY,250,VALID,VALID,ONLINE
RBT-0045,DC-02,TUGGER,MoveIQ,DC-02-F4,1.2.5,54,78,HEALTHY,500,VALID,VALID,INTERMITTENT
RBT-0046,DC-02,AMR,MoveIQ,DC-02-F3,2.4.6,98,98,HEALTHY,500,VALID,VALID,ONLINE
RBT-0047,DC-02,FORK_AMR,MoveIQ,DC-02-F2,2.7.0,59,75,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0048,DC-02,CASE_PICKER,MoveIQ,DC-02-F4,4.8.2,22,99,HEALTHY,250,VALID,VALID,OFFLINE
RBT-0049,DC-02,FORK_AMR,MoveIQ,DC-02-F1,3.1.2,52,72,HEALTHY,1000,VALID,VALID,ONLINE
RBT-0050,DC-02,FORK_AMR,MoveIQ,DC-02-F3,4.8.6,87,73,HEALTHY,1000,VALID,VALID,ONLINE
