warehouse_id,event_id,event_time,event_type,zone,severity,resolved,source
DC-01,SAFE-DC-01-000,2026-08-22T03:42:00,SCANNER_FAULT,DC-01-Z01,MEDIUM,N,VISION
DC-01,SAFE-DC-01-001,2026-08-29T10:31:00,NEAR_MISS,DC-01-Z05,MEDIUM,Y,OPERATOR
DC-01,SAFE-DC-01-002,2026-08-18T05:05:00,E_STOP,DC-01-Z09,CRITICAL,Y,VISION
DC-01,SAFE-DC-01-003,2026-08-08T10:02:00,E_STOP,DC-01-Z01,HIGH,N,OPERATOR
DC-01,SAFE-DC-01-004,2026-09-03T09:02:00,ZONE_BREACH,DC-01-Z12,MEDIUM,Y,SAFETY_PLC
DC-01,SAFE-DC-01-005,2026-08-25T13:07:00,NEAR_MISS,DC-01-Z11,CRITICAL,Y,OPERATOR
DC-01,SAFE-DC-01-006,2026-08-25T20:20:00,SPEED_REDUCTION,DC-01-Z04,HIGH,Y,VISION
DC-01,SAFE-DC-01-007,2026-08-16T22:01:00,ZONE_BREACH,DC-01-Z10,HIGH,Y,SAFETY_PLC
DC-01,SAFE-DC-01-008,2026-09-01T01:17:00,E_STOP,DC-01-Z09,HIGH,N,FLEET
DC-01,SAFE-DC-01-009,2026-08-19T07:44:00,SCANNER_FAULT,DC-01-Z08,CRITICAL,Y,FLEET
DC-01,SAFE-DC-01-010,2026-09-01T23:34:00,SPEED_REDUCTION,DC-01-Z03,CRITICAL,Y,SAFETY_PLC
DC-01,SAFE-DC-01-011,2026-08-06T19:27:00,SPEED_REDUCTION,DC-01-Z07,LOW,Y,VISION
DC-01,SAFE-DC-01-012,2026-08-23T12:25:00,E_STOP,DC-01-Z09,CRITICAL,N,FLEET
DC-01,SAFE-DC-01-013,2026-08-03T18:17:00,SCANNER_FAULT,DC-01-Z02,MEDIUM,N,OPERATOR
DC-01,SAFE-DC-01-014,2026-08-30T21:23:00,MANUAL_OVERRIDE,DC-01-Z05,CRITICAL,Y,FLEET
DC-01,SAFE-DC-01-015,2026-09-01T22:04:00,SPEED_REDUCTION,DC-01-Z06,HIGH,Y,SAFETY_PLC
DC-01,SAFE-DC-01-016,2026-08-13T16:23:00,E_STOP,DC-01-Z10,HIGH,Y,SAFETY_PLC
DC-01,SAFE-DC-01-017,2026-09-03T12:45:00,SCANNER_FAULT,DC-01-Z12,MEDIUM,Y,VISION
DC-01,SAFE-DC-01-018,2026-08-28T04:20:00,NEAR_MISS,DC-01-Z04,MEDIUM,Y,SAFETY_PLC
DC-01,SAFE-DC-01-019,2026-08-10T18:55:00,MANUAL_OVERRIDE,DC-01-Z11,LOW,Y,SAFETY_PLC
DC-01,SAFE-DC-01-020,2026-08-30T07:05:00,SPEED_REDUCTION,DC-01-Z02,MEDIUM,Y,OPERATOR
DC-01,SAFE-DC-01-021,2026-08-07T05:52:00,E_STOP,DC-01-Z04,LOW,N,OPERATOR
DC-01,SAFE-DC-01-022,2026-09-04T10:14:00,SPEED_REDUCTION,DC-01-Z11,LOW,Y,VISION
DC-01,SAFE-DC-01-023,2026-08-17T23:41:00,MANUAL_OVERRIDE,DC-01-Z09,LOW,Y,VISION
DC-01,SAFE-DC-01-024,2026-08-11T18:38:00,NEAR_MISS,DC-01-Z10,LOW,N,FLEET
DC-01,SAFE-DC-01-025,2026-08-30T19:46:00,NEAR_MISS,DC-01-Z02,HIGH,N,OPERATOR
DC-01,SAFE-DC-01-026,2026-08-18T00:41:00,E_STOP,DC-01-Z04,HIGH,Y,FLEET
DC-01,SAFE-DC-01-027,2026-08-27T18:18:00,E_STOP,DC-01-Z08,CRITICAL,Y,SAFETY_PLC
DC-01,SAFE-DC-01-028,2026-08-06T16:47:00,NEAR_MISS,DC-01-Z07,LOW,Y,VISION
DC-01,SAFE-DC-01-029,2026-08-29T16:44:00,SCANNER_FAULT,DC-01-Z05,LOW,Y,FLEET
DC-01,SAFE-DC-01-030,2026-08-15T04:04:00,MANUAL_OVERRIDE,DC-01-Z12,MEDIUM,N,FLEET
DC-01,SAFE-DC-01-031,2026-08-21T18:28:00,NEAR_MISS,DC-01-Z06,CRITICAL,Y,SAFETY_PLC
DC-01,SAFE-DC-01-032,2026-08-05T13:51:00,MANUAL_OVERRIDE,DC-01-Z03,CRITICAL,Y,FLEET
DC-01,SAFE-DC-01-033,2026-08-01T07:48:00,SCANNER_FAULT,DC-01-Z03,HIGH,Y,OPERATOR
DC-01,SAFE-DC-01-034,2026-08-22T16:49:00,MANUAL_OVERRIDE,DC-01-Z10,LOW,N,VISION
DC-01,SAFE-DC-01-035,2026-08-08T21:25:00,MANUAL_OVERRIDE,DC-01-Z09,MEDIUM,Y,OPERATOR
DC-01,SAFE-DC-01-036,2026-08-28T18:09:00,MANUAL_OVERRIDE,DC-01-Z06,HIGH,N,OPERATOR
DC-01,SAFE-DC-01-037,2026-09-03T13:35:00,NEAR_MISS,DC-01-Z12,LOW,Y,OPERATOR
DC-01,SAFE-DC-01-038,2026-08-25T20:46:00,NEAR_MISS,DC-01-Z10,CRITICAL,Y,FLEET
DC-01,SAFE-DC-01-039,2026-09-01T16:40:00,SCANNER_FAULT,DC-01-Z06,CRITICAL,Y,OPERATOR
DC-01,SAFE-DC-01-040,2026-08-17T02:25:00,SPEED_REDUCTION,DC-01-Z07,HIGH,Y,SAFETY_PLC
DC-01,SAFE-DC-01-041,2026-08-07T04:57:00,ZONE_BREACH,DC-01-Z08,HIGH,Y,FLEET
DC-01,SAFE-DC-01-042,2026-08-18T17:56:00,E_STOP,DC-01-Z03,MEDIUM,N,FLEET
DC-01,SAFE-DC-01-043,2026-08-22T22:25:00,MANUAL_OVERRIDE,DC-01-Z05,LOW,N,SAFETY_PLC
DC-01,SAFE-DC-01-044,2026-08-21T21:48:00,ZONE_BREACH,DC-01-Z10,HIGH,Y,VISION
DC-01,SAFE-DC-01-045,2026-08-17T02:17:00,ZONE_BREACH,DC-01-Z05,LOW,Y,FLEET
