task_id,order_id,warehouse_id,task_type,assigned_robot,wes_status,fleet_status,source_zone,dest_zone,created_at
TSK-000001-1,ORD-000001,DC-17,PACK_FEED,RBT-0216,BLOCKED,COMPLETE,DC-17-Z03,DC-17-Z07,2026-08-16T06:13:00
TSK-000001-2,ORD-000001,DC-17,PICK,RBT-0105,QUEUED,QUEUED,DC-17-Z07,DC-17-Z09,2026-08-16T05:09:00
TSK-000001-3,ORD-000001,DC-17,MOVE,RBT-0319,COMPLETE,EXECUTING,DC-17-Z10,DC-17-Z01,2026-08-16T06:05:00
TSK-000001-4,ORD-000001,DC-17,PACK_FEED,RBT-0683,ASSIGNED,QUEUED,DC-17-Z09,DC-17-Z09,2026-08-16T04:26:00
TSK-000002-1,ORD-000002,DC-13,PACK_FEED,RBT-0070,COMPLETE,ASSIGNED,DC-13-Z10,DC-13-Z06,2026-08-07T22:56:00
TSK-000002-2,ORD-000002,DC-13,PICK,RBT-0485,ASSIGNED,FAILED,DC-13-Z08,DC-13-Z05,2026-08-07T22:42:00
TSK-000002-3,ORD-000002,DC-13,REPLENISH,RBT-0350,BLOCKED,QUEUED,DC-13-Z03,DC-13-Z12,2026-08-07T23:00:00
TSK-000002-4,ORD-000002,DC-13,MOVE,RBT-0360,EXECUTING,QUEUED,DC-13-Z08,DC-13-Z09,2026-08-07T21:32:00
TSK-000003-1,ORD-000003,DC-10,PICK,RBT-0471,BLOCKED,FAILED,DC-10-Z09,DC-10-Z07,2026-08-04T09:52:00
TSK-000003-2,ORD-000003,DC-10,MOVE,RBT-0161,BLOCKED,ASSIGNED,DC-10-Z03,DC-10-Z10,2026-08-04T09:19:00
TSK-000003-3,ORD-000003,DC-10,PACK_FEED,RBT-0483,COMPLETE,FAILED,DC-10-Z04,DC-10-Z09,2026-08-04T09:14:00
TSK-000004-1,ORD-000004,DC-16,MOVE,RBT-0644,EXECUTING,FAILED,DC-16-Z08,DC-16-Z08,2026-09-02T20:16:00
TSK-000004-2,ORD-000004,DC-16,REPLENISH,RBT-0506,QUEUED,EXECUTING,DC-16-Z03,DC-16-Z06,2026-09-02T20:42:00
TSK-000005-1,ORD-000005,DC-02,PICK,RBT-0580,EXECUTING,QUEUED,DC-02-Z01,DC-02-Z02,2026-08-01T20:08:00
TSK-000005-2,ORD-000005,DC-02,MOVE,RBT-0591,BLOCKED,QUEUED,DC-02-Z06,DC-02-Z03,2026-08-01T20:05:00
TSK-000005-3,ORD-000005,DC-02,STAGE,RBT-0609,ASSIGNED,EXECUTING,DC-02-Z09,DC-02-Z09,2026-08-01T19:49:00
TSK-000005-4,ORD-000005,DC-02,PACK_FEED,RBT-0305,COMPLETE,FAILED,DC-02-Z04,DC-02-Z01,2026-08-01T18:40:00
TSK-000006-1,ORD-000006,DC-12,PACK_FEED,RBT-0273,EXECUTING,QUEUED,DC-12-Z01,DC-12-Z04,2026-08-22T23:14:00
TSK-000006-2,ORD-000006,DC-12,PACK_FEED,RBT-0684,QUEUED,EXECUTING,DC-12-Z03,DC-12-Z06,2026-08-22T22:17:00
TSK-000007-1,ORD-000007,DC-09,STAGE,RBT-0699,QUEUED,FAILED,DC-09-Z02,DC-09-Z05,2026-08-10T09:29:00
TSK-000007-2,ORD-000007,DC-09,STAGE,RBT-0321,COMPLETE,ASSIGNED,DC-09-Z01,DC-09-Z09,2026-08-10T09:34:00
TSK-000007-3,ORD-000007,DC-09,PACK_FEED,RBT-0190,COMPLETE,COMPLETE,DC-09-Z05,DC-09-Z11,2026-08-10T11:21:00
TSK-000008-1,ORD-000008,DC-09,REPLENISH,RBT-0381,EXECUTING,FAILED,DC-09-Z05,DC-09-Z02,2026-08-08T05:49:00
TSK-000008-2,ORD-000008,DC-09,PICK,RBT-0313,BLOCKED,QUEUED,DC-09-Z11,DC-09-Z06,2026-08-08T06:44:00
TSK-000008-3,ORD-000008,DC-09,REPLENISH,RBT-0341,EXECUTING,QUEUED,DC-09-Z12,DC-09-Z11,2026-08-08T05:16:00
TSK-000009-1,ORD-000009,DC-13,PACK_FEED,RBT-0237,BLOCKED,FAILED,DC-13-Z10,DC-13-Z10,2026-08-21T06:50:00
TSK-000009-2,ORD-000009,DC-13,REPLENISH,RBT-0453,COMPLETE,QUEUED,DC-13-Z10,DC-13-Z09,2026-08-21T07:10:00
TSK-000010-1,ORD-000010,DC-13,STAGE,RBT-0261,QUEUED,ASSIGNED,DC-13-Z02,DC-13-Z03,2026-09-01T10:37:00
TSK-000010-2,ORD-000010,DC-13,PICK,RBT-0360,EXECUTING,ASSIGNED,DC-13-Z07,DC-13-Z03,2026-09-01T11:04:00
TSK-000010-3,ORD-000010,DC-13,REPLENISH,RBT-0456,BLOCKED,EXECUTING,DC-13-Z02,DC-13-Z03,2026-09-01T11:44:00
TSK-000010-4,ORD-000010,DC-13,STAGE,RBT-0610,EXECUTING,COMPLETE,DC-13-Z04,DC-13-Z12,2026-09-01T11:27:00
TSK-000011-1,ORD-000011,DC-14,PACK_FEED,RBT-0710,QUEUED,QUEUED,DC-14-Z06,DC-14-Z03,2026-08-10T22:04:00
TSK-000011-2,ORD-000011,DC-14,MOVE,RBT-0079,ASSIGNED,COMPLETE,DC-14-Z10,DC-14-Z08,2026-08-10T20:41:00
TSK-000011-3,ORD-000011,DC-14,STAGE,RBT-0148,COMPLETE,COMPLETE,DC-14-Z08,DC-14-Z10,2026-08-10T20:46:00
TSK-000012-1,ORD-000012,DC-10,STAGE,RBT-0233,ASSIGNED,QUEUED,DC-10-Z06,DC-10-Z03,2026-08-13T19:24:00
TSK-000012-2,ORD-000012,DC-10,STAGE,RBT-0471,ASSIGNED,EXECUTING,DC-10-Z01,DC-10-Z12,2026-08-13T18:26:00
TSK-000013-1,ORD-000013,DC-18,STAGE,RBT-0632,QUEUED,FAILED,DC-18-Z04,DC-18-Z12,2026-08-06T11:03:00
TSK-000013-2,ORD-000013,DC-18,PACK_FEED,RBT-0041,QUEUED,FAILED,DC-18-Z05,DC-18-Z10,2026-08-06T11:37:00
TSK-000013-3,ORD-000013,DC-18,PACK_FEED,RBT-0707,COMPLETE,FAILED,DC-18-Z10,DC-18-Z09,2026-08-06T11:17:00
