warehouse_id,zone_id,zone_type,robot_access,human_density_profile,map_version,physical_change_pending
DC-01,DC-01-Z01,STAGING,YES,HIGH,v7,YES
DC-01,DC-01-Z02,PICK,YES,HIGH,v8,NO
DC-01,DC-01-Z03,STAGING,YES,MEDIUM,v9,YES
DC-01,DC-01-Z04,PICK,YES,LOW,v7,NO
DC-01,DC-01-Z05,STAGING,RESTRICTED,MEDIUM,v8,NO
DC-01,DC-01-Z06,PACK,YES,LOW,v9,NO
DC-01,DC-01-Z07,PICK,YES,MEDIUM,v7,NO
DC-01,DC-01-Z08,STORAGE,YES,LOW,v9,NO
DC-01,DC-01-Z09,STORAGE,YES,LOW,v9,NO
DC-01,DC-01-Z10,COLD,YES,LOW,v8,NO
DC-01,DC-01-Z11,STAGING,RESTRICTED,HIGH,v9,NO
DC-01,DC-01-Z12,CHARGE,RESTRICTED,HIGH,v7,NO
DC-02,DC-02-Z01,CROSSDOCK,RESTRICTED,MEDIUM,v9,NO
DC-02,DC-02-Z02,COLD,RESTRICTED,HIGH,v8,NO
DC-02,DC-02-Z03,STORAGE,YES,LOW,v9,NO
DC-02,DC-02-Z04,STAGING,YES,LOW,v7,NO
DC-02,DC-02-Z05,PACK,YES,HIGH,v7,NO
DC-02,DC-02-Z06,STORAGE,YES,HIGH,v9,NO
DC-02,DC-02-Z07,COLD,YES,MEDIUM,v8,NO
DC-02,DC-02-Z08,CHARGE,YES,HIGH,v7,NO
DC-02,DC-02-Z09,PACK,YES,LOW,v9,NO
DC-02,DC-02-Z10,CROSSDOCK,YES,HIGH,v7,NO
DC-02,DC-02-Z11,PACK,YES,HIGH,v7,YES
DC-02,DC-02-Z12,PACK,YES,LOW,v7,NO
DC-03,DC-03-Z01,CHARGE,YES,HIGH,v9,NO
DC-03,DC-03-Z02,PICK,YES,HIGH,v9,NO
DC-03,DC-03-Z03,PICK,YES,HIGH,v7,NO
DC-03,DC-03-Z04,HAZMAT,YES,HIGH,v9,NO
DC-03,DC-03-Z05,CHARGE,RESTRICTED,HIGH,v7,NO
DC-03,DC-03-Z06,STORAGE,YES,MEDIUM,v8,NO
DC-03,DC-03-Z07,COLD,YES,HIGH,v9,NO
DC-03,DC-03-Z08,COLD,YES,MEDIUM,v7,NO
DC-03,DC-03-Z09,PACK,YES,MEDIUM,v9,NO
DC-03,DC-03-Z10,PICK,YES,HIGH,v7,NO
DC-03,DC-03-Z11,STAGING,YES,LOW,v7,NO
DC-03,DC-03-Z12,STORAGE,YES,LOW,v7,NO
DC-04,DC-04-Z01,CROSSDOCK,YES,LOW,v8,NO
DC-04,DC-04-Z02,PACK,YES,MEDIUM,v9,NO
DC-04,DC-04-Z03,CHARGE,RESTRICTED,LOW,v9,NO
DC-04,DC-04-Z04,PACK,YES,MEDIUM,v9,NO
DC-04,DC-04-Z05,PACK,YES,LOW,v9,NO
DC-04,DC-04-Z06,PACK,RESTRICTED,MEDIUM,v8,NO
DC-04,DC-04-Z07,PACK,YES,MEDIUM,v7,NO
DC-04,DC-04-Z08,CROSSDOCK,YES,MEDIUM,v9,NO
DC-04,DC-04-Z09,COLD,YES,LOW,v8,NO
DC-04,DC-04-Z10,PACK,RESTRICTED,MEDIUM,v8,NO
DC-04,DC-04-Z11,STORAGE,YES,MEDIUM,v8,NO
DC-04,DC-04-Z12,STORAGE,YES,MEDIUM,v8,NO
DC-05,DC-05-Z01,PACK,YES,HIGH,v8,YES
DC-05,DC-05-Z02,CROSSDOCK,YES,MEDIUM,v8,YES
DC-05,DC-05-Z03,STAGING,YES,MEDIUM,v9,NO
DC-05,DC-05-Z04,STAGING,YES,LOW,v8,NO
DC-05,DC-05-Z05,HAZMAT,RESTRICTED,MEDIUM,v7,YES
DC-05,DC-05-Z06,CROSSDOCK,RESTRICTED,LOW,v9,YES
DC-05,DC-05-Z07,HAZMAT,YES,HIGH,v8,NO
DC-05,DC-05-Z08,STORAGE,RESTRICTED,HIGH,v9,NO
DC-05,DC-05-Z09,STORAGE,YES,HIGH,v7,NO
DC-05,DC-05-Z10,CROSSDOCK,RESTRICTED,MEDIUM,v7,NO
DC-05,DC-05-Z11,STAGING,YES,MEDIUM,v7,NO
DC-05,DC-05-Z12,CROSSDOCK,YES,HIGH,v7,NO
DC-06,DC-06-Z01,PACK,YES,LOW,v9,NO
DC-06,DC-06-Z02,PICK,YES,LOW,v9,NO
DC-06,DC-06-Z03,CHARGE,YES,MEDIUM,v9,NO
DC-06,DC-06-Z04,CHARGE,YES,LOW,v9,NO
DC-06,DC-06-Z05,STAGING,YES,LOW,v7,NO
DC-06,DC-06-Z06,PACK,YES,LOW,v9,NO
DC-06,DC-06-Z07,STAGING,YES,LOW,v7,NO
DC-06,DC-06-Z08,STAGING,YES,HIGH,v7,NO
DC-06,DC-06-Z09,STAGING,YES,HIGH,v9,NO
DC-06,DC-06-Z10,STAGING,YES,HIGH,v9,NO
DC-06,DC-06-Z11,COLD,YES,LOW,v8,NO
DC-06,DC-06-Z12,PICK,YES,LOW,v7,NO
DC-07,DC-07-Z01,CROSSDOCK,YES,MEDIUM,v9,NO
DC-07,DC-07-Z02,HAZMAT,RESTRICTED,LOW,v9,NO
DC-07,DC-07-Z03,STAGING,YES,MEDIUM,v8,NO
DC-07,DC-07-Z04,STAGING,YES,LOW,v9,NO
DC-07,DC-07-Z05,STORAGE,YES,LOW,v7,NO
DC-07,DC-07-Z06,COLD,YES,HIGH,v8,NO
DC-07,DC-07-Z07,CROSSDOCK,RESTRICTED,HIGH,v7,NO
DC-07,DC-07-Z08,COLD,YES,HIGH,v7,NO
DC-07,DC-07-Z09,COLD,RESTRICTED,LOW,v8,NO
DC-07,DC-07-Z10,CHARGE,YES,HIGH,v8,NO
DC-07,DC-07-Z11,PACK,RESTRICTED,HIGH,v9,NO
DC-07,DC-07-Z12,CROSSDOCK,YES,LOW,v8,NO
DC-08,DC-08-Z01,HAZMAT,YES,LOW,v7,NO
DC-08,DC-08-Z02,PICK,YES,HIGH,v7,NO
DC-08,DC-08-Z03,STAGING,RESTRICTED,LOW,v7,NO
DC-08,DC-08-Z04,PACK,YES,HIGH,v8,YES
DC-08,DC-08-Z05,CHARGE,YES,MEDIUM,v7,NO
DC-08,DC-08-Z06,CHARGE,YES,LOW,v7,NO
DC-08,DC-08-Z07,STAGING,YES,LOW,v9,NO
DC-08,DC-08-Z08,HAZMAT,YES,HIGH,v8,YES
DC-08,DC-08-Z09,COLD,YES,LOW,v9,NO
DC-08,DC-08-Z10,COLD,YES,HIGH,v7,NO
DC-08,DC-08-Z11,HAZMAT,YES,LOW,v9,YES
DC-08,DC-08-Z12,CHARGE,YES,HIGH,v9,YES
DC-09,DC-09-Z01,STORAGE,YES,HIGH,v8,NO
DC-09,DC-09-Z02,CROSSDOCK,YES,HIGH,v9,NO
DC-09,DC-09-Z03,STORAGE,YES,HIGH,v9,NO
DC-09,DC-09-Z04,HAZMAT,YES,MEDIUM,v7,NO
DC-09,DC-09-Z05,PACK,YES,HIGH,v7,NO
DC-09,DC-09-Z06,PACK,YES,HIGH,v9,NO
DC-09,DC-09-Z07,HAZMAT,YES,HIGH,v8,YES
DC-09,DC-09-Z08,CROSSDOCK,YES,LOW,v7,NO
DC-09,DC-09-Z09,CHARGE,YES,HIGH,v7,YES
DC-09,DC-09-Z10,STORAGE,YES,HIGH,v7,NO
DC-09,DC-09-Z11,CHARGE,YES,HIGH,v9,NO
DC-09,DC-09-Z12,PACK,YES,MEDIUM,v7,NO
DC-10,DC-10-Z01,STAGING,YES,HIGH,v7,NO
