sku,description,uom,temperature_class,lot_controlled,serial_controlled,hazmat
SKU-00001,Synthetic Product 00001,EA,AMBIENT,N,Y,N
SKU-00002,Synthetic Product 00002,CASE,AMBIENT,N,N,N
SKU-00003,Synthetic Product 00003,PALLET,AMBIENT,N,N,N
SKU-00004,Synthetic Product 00004,EA,AMBIENT,Y,N,N
SKU-00005,Synthetic Product 00005,EA,AMBIENT,N,N,N
SKU-00006,Synthetic Product 00006,PALLET,AMBIENT,Y,N,N
SKU-00007,Synthetic Product 00007,CASE,AMBIENT,N,N,N
SKU-00008,Synthetic Product 00008,CASE,AMBIENT,N,N,N
SKU-00009,Synthetic Product 00009,PALLET,AMBIENT,N,Y,N
SKU-00010,Synthetic Product 00010,CASE,AMBIENT,Y,N,N
SKU-00011,Synthetic Product 00011,EA,CHILLED,Y,N,N
SKU-00012,Synthetic Product 00012,PALLET,AMBIENT,Y,N,N
SKU-00013,Synthetic Product 00013,PALLET,AMBIENT,Y,N,N
SKU-00014,Synthetic Product 00014,CASE,AMBIENT,Y,N,N
SKU-00015,Synthetic Product 00015,PALLET,AMBIENT,N,N,N
SKU-00016,Synthetic Product 00016,EA,AMBIENT,Y,N,N
SKU-00017,Synthetic Product 00017,EA,AMBIENT,N,N,N
SKU-00018,Synthetic Product 00018,PALLET,AMBIENT,Y,N,N
SKU-00019,Synthetic Product 00019,PALLET,AMBIENT,Y,Y,N
SKU-00020,Synthetic Product 00020,PALLET,AMBIENT,N,N,N
SKU-00021,Synthetic Product 00021,PALLET,FROZEN,N,N,N
SKU-00022,Synthetic Product 00022,EA,AMBIENT,N,N,N
SKU-00023,Synthetic Product 00023,EA,AMBIENT,Y,N,N
SKU-00024,Synthetic Product 00024,CASE,AMBIENT,Y,N,N
SKU-00025,Synthetic Product 00025,EA,AMBIENT,N,N,N
SKU-00026,Synthetic Product 00026,CASE,AMBIENT,Y,N,N
SKU-00027,Synthetic Product 00027,EA,AMBIENT,N,N,N
SKU-00028,Synthetic Product 00028,CASE,AMBIENT,Y,N,N
SKU-00029,Synthetic Product 00029,EA,AMBIENT,N,N,N
SKU-00030,Synthetic Product 00030,PALLET,AMBIENT,Y,N,Y
SKU-00031,Synthetic Product 00031,EA,CHILLED,N,N,N
SKU-00032,Synthetic Product 00032,PALLET,AMBIENT,Y,N,N
SKU-00033,Synthetic Product 00033,PALLET,AMBIENT,N,N,N
SKU-00034,Synthetic Product 00034,EA,AMBIENT,Y,N,N
SKU-00035,Synthetic Product 00035,EA,AMBIENT,N,N,N
SKU-00036,Synthetic Product 00036,PALLET,AMBIENT,N,Y,N
SKU-00037,Synthetic Product 00037,PALLET,AMBIENT,N,N,N
SKU-00038,Synthetic Product 00038,PALLET,AMBIENT,N,Y,N
SKU-00039,Synthetic Product 00039,PALLET,AMBIENT,Y,N,N
SKU-00040,Synthetic Product 00040,EA,AMBIENT,Y,N,N
SKU-00041,Synthetic Product 00041,PALLET,AMBIENT,N,N,N
SKU-00042,Synthetic Product 00042,CASE,CHILLED,Y,N,N
SKU-00043,Synthetic Product 00043,PALLET,AMBIENT,Y,N,N
SKU-00044,Synthetic Product 00044,EA,AMBIENT,N,N,N
SKU-00045,Synthetic Product 00045,EA,AMBIENT,Y,N,N
