warehouse_id,order_id,manual_priority,reason
DC-01,ORD-001657,P1,vip_customer
DC-01,ORD-003104,P2,carrier_cutoff
DC-01,ORD-003296,P3,inventory_risk
DC-01,ORD-000733,P2,vip_customer
DC-01,ORD-000107,P3,manager_override
DC-01,ORD-000607,P2,manager_override
DC-01,ORD-000019,P2,vip_customer
DC-01,ORD-000245,P1,carrier_cutoff
DC-01,ORD-002686,P2,carrier_cutoff
DC-01,ORD-000393,P2,manager_override
DC-01,ORD-001246,P3,inventory_risk
DC-01,ORD-000421,P2,carrier_cutoff
DC-02,ORD-001772,P2,manager_override
DC-02,ORD-000527,P1,vip_customer
DC-02,ORD-003220,P3,carrier_cutoff
DC-02,ORD-000338,P1,inventory_risk
DC-02,ORD-000387,P2,vip_customer
DC-02,ORD-001055,P2,manager_override
DC-02,ORD-000108,P1,manager_override
DC-02,ORD-002598,P3,manager_override
DC-02,ORD-003289,P1,carrier_cutoff
DC-02,ORD-001996,P1,manager_override
DC-02,ORD-002412,P1,inventory_risk
DC-02,ORD-001958,P3,vip_customer
DC-03,ORD-000402,P2,manager_override
DC-03,ORD-000911,P2,carrier_cutoff
DC-03,ORD-000484,P1,inventory_risk
DC-03,ORD-002766,P3,carrier_cutoff
DC-03,ORD-000435,P1,manager_override
DC-03,ORD-002413,P3,vip_customer
DC-03,ORD-001592,P3,manager_override
DC-03,ORD-002333,P2,manager_override
DC-03,ORD-003116,P1,carrier_cutoff
DC-03,ORD-002740,P2,carrier_cutoff
DC-03,ORD-002646,P2,manager_override
DC-03,ORD-001307,P3,vip_customer
DC-04,ORD-002760,P3,inventory_risk
DC-04,ORD-002154,P1,inventory_risk
DC-04,ORD-000774,P2,manager_override
DC-04,ORD-001708,P3,carrier_cutoff
DC-04,ORD-000687,P2,carrier_cutoff
DC-04,ORD-003388,P3,inventory_risk
DC-04,ORD-002397,P1,inventory_risk
DC-04,ORD-001579,P3,vip_customer
DC-04,ORD-001513,P2,manager_override
DC-04,ORD-003288,P3,vip_customer
DC-04,ORD-000301,P2,inventory_risk
DC-04,ORD-001301,P1,manager_override
DC-05,ORD-000841,P2,manager_override
DC-05,ORD-002900,P3,vip_customer
DC-05,ORD-003131,P3,manager_override
DC-05,ORD-000390,P3,manager_override
DC-05,ORD-002122,P3,carrier_cutoff
DC-05,ORD-000748,P1,carrier_cutoff
DC-05,ORD-000307,P3,vip_customer
DC-05,ORD-002703,P3,inventory_risk
DC-05,ORD-002344,P1,carrier_cutoff
DC-05,ORD-001602,P3,inventory_risk
DC-05,ORD-000277,P3,vip_customer
DC-05,ORD-000623,P1,inventory_risk
DC-06,ORD-001834,P2,inventory_risk
DC-06,ORD-000903,P3,manager_override
DC-06,ORD-000252,P1,vip_customer
DC-06,ORD-002744,P3,carrier_cutoff
DC-06,ORD-002221,P3,vip_customer
DC-06,ORD-003311,P2,carrier_cutoff
DC-06,ORD-000492,P1,inventory_risk
DC-06,ORD-002442,P2,manager_override
DC-06,ORD-001082,P2,carrier_cutoff
DC-06,ORD-002960,P2,vip_customer
DC-06,ORD-000288,P3,inventory_risk
DC-06,ORD-002489,P3,inventory_risk
DC-07,ORD-001209,P2,carrier_cutoff
DC-07,ORD-000610,P1,inventory_risk
DC-07,ORD-002693,P1,inventory_risk
DC-07,ORD-003293,P3,inventory_risk
DC-07,ORD-002323,P2,carrier_cutoff
DC-07,ORD-003413,P2,inventory_risk
DC-07,ORD-003121,P2,vip_customer
DC-07,ORD-000905,P3,inventory_risk
DC-07,ORD-003159,P1,manager_override
DC-07,ORD-002214,P1,carrier_cutoff
DC-07,ORD-001808,P2,manager_override
DC-07,ORD-003440,P3,carrier_cutoff
DC-08,ORD-003447,P1,inventory_risk
DC-08,ORD-002708,P2,inventory_risk
DC-08,ORD-001295,P1,carrier_cutoff
DC-08,ORD-001322,P2,vip_customer
DC-08,ORD-001861,P2,carrier_cutoff
DC-08,ORD-000734,P3,manager_override
DC-08,ORD-000256,P1,vip_customer
DC-08,ORD-000550,P1,inventory_risk
DC-08,ORD-002376,P1,vip_customer
DC-08,ORD-001330,P3,carrier_cutoff
DC-08,ORD-001982,P2,vip_customer
DC-08,ORD-000208,P2,inventory_risk
DC-09,ORD-001415,P1,carrier_cutoff
DC-09,ORD-003302,P3,vip_customer
DC-09,ORD-000619,P1,manager_override
DC-09,ORD-000498,P3,inventory_risk
DC-09,ORD-001097,P3,inventory_risk
DC-09,ORD-003064,P1,carrier_cutoff
DC-09,ORD-000556,P3,inventory_risk
DC-09,ORD-001049,P1,manager_override
DC-09,ORD-003241,P1,carrier_cutoff
DC-09,ORD-003063,P2,carrier_cutoff
DC-09,ORD-001132,P3,carrier_cutoff
DC-09,ORD-002129,P3,manager_override
DC-10,ORD-002000,P1,vip_customer
DC-10,ORD-000506,P2,carrier_cutoff
DC-10,ORD-000374,P2,carrier_cutoff
DC-10,ORD-001339,P3,inventory_risk
DC-10,ORD-000754,P1,inventory_risk
DC-10,ORD-002619,P1,carrier_cutoff
DC-10,ORD-002427,P2,manager_override
DC-10,ORD-001687,P2,vip_customer
DC-10,ORD-003305,P2,vip_customer
DC-10,ORD-002103,P3,inventory_risk
DC-10,ORD-000226,P2,carrier_cutoff
DC-10,ORD-000803,P3,manager_override
DC-11,ORD-000373,P3,manager_override
DC-11,ORD-003453,P2,manager_override
DC-11,ORD-002155,P3,manager_override
DC-11,ORD-001460,P3,vip_customer
DC-11,ORD-001684,P3,vip_customer
DC-11,ORD-002654,P1,vip_customer
DC-11,ORD-001341,P1,vip_customer
DC-11,ORD-003272,P1,manager_override
DC-11,ORD-000134,P2,vip_customer
DC-11,ORD-001071,P3,manager_override
DC-11,ORD-001443,P2,manager_override
DC-11,ORD-000870,P2,inventory_risk
DC-12,ORD-003052,P3,manager_override
DC-12,ORD-003217,P2,inventory_risk
DC-12,ORD-001805,P1,inventory_risk
