robot_id,warehouse_id,event_time,ingest_time,zone,battery_soc,speed_mps,localization_confidence,telemetry_quality
RBT-0001,DC-01,2026-08-30T05:59:00,2026-08-30T05:59:02,DC-01-Z06,71,1.43,0.729,GOOD
RBT-0001,DC-01,2026-08-30T06:06:00,2026-08-30T06:07:37,DC-01-Z11,73,0.87,0.866,GOOD
RBT-0001,DC-01,2026-08-30T06:11:00,2026-08-30T06:12:24,DC-01-Z04,70,1.57,0.963,GOOD
RBT-0001,DC-01,2026-08-30T06:14:00,2026-08-30T06:14:52,DC-01-Z08,70,0.6,0.919,GOOD
RBT-0001,DC-01,2026-08-30T06:19:00,2026-08-30T06:20:28,DC-01-Z04,72,1.59,0.765,GOOD
RBT-0001,DC-01,2026-08-30T06:24:00,2026-08-30T06:24:30,DC-01-Z03,69,1.56,0.856,GOOD
RBT-0001,DC-01,2026-08-30T06:31:00,2026-08-30T06:32:36,DC-01-Z03,72,2.01,0.846,GOOD
RBT-0001,DC-01,2026-08-30T06:36:00,2026-08-30T06:37:24,DC-01-Z04,71,1.32,0.752,GOOD
RBT-0001,DC-01,2026-08-30T06:40:00,2026-08-30T06:40:31,DC-01-Z05,70,1.85,0.906,GOOD
RBT-0001,DC-01,2026-08-30T06:46:00,2026-08-30T06:47:10,DC-01-Z05,70,1.96,0.81,GOOD
RBT-0001,DC-01,2026-08-30T06:49:00,2026-08-30T06:50:08,DC-01-Z02,70,1.23,0.69,UNCERTAIN
RBT-0001,DC-01,2026-08-30T06:55:00,2026-08-30T06:56:37,DC-01-Z02,72,0.56,0.842,UNCERTAIN
RBT-0001,DC-01,2026-08-30T06:59:00,2026-08-30T06:59:43,DC-01-Z09,67,1.61,0.827,GOOD
RBT-0001,DC-01,2026-08-30T07:04:00,2026-08-30T07:05:20,DC-01-Z01,70,2.02,0.955,GOOD
RBT-0001,DC-01,2026-08-30T07:10:00,2026-08-30T07:11:39,DC-01-Z03,68,0.88,0.758,GOOD
RBT-0001,DC-01,2026-08-30T07:15:00,2026-08-30T07:16:04,DC-01-Z05,68,0.85,0.776,GOOD
RBT-0001,DC-01,2026-08-30T07:20:00,2026-08-30T07:20:33,DC-01-Z01,67,1.07,0.777,GOOD
RBT-0001,DC-01,2026-08-30T07:24:00,2026-08-30T07:24:26,DC-01-Z11,70,1.48,0.753,GOOD
