order_id,sku,order_quantity,warehouse_id,priority,created_at,carrier_cutoff,oms_status,wms_status,customer_region,service_level
ORD-000001,SKU-00697,1,DC-17,EXPEDITE,2026-08-16T04:23:00,2026-08-17T04:23:00,PICKING,PICKING,LATAM,STANDARD
ORD-000002,SKU-01015,1,DC-13,CRITICAL,2026-08-07T21:31:00,2026-08-08T01:31:00,RELEASED,RELEASED,MEA,STANDARD
ORD-000003,SKU-00606,1,DC-10,EXPEDITE,2026-08-04T08:09:00,2026-08-04T12:09:00,PACKING,EXCEPTION,LATAM,STANDARD
ORD-000004,SKU-01055,1,DC-16,CRITICAL,2026-09-02T20:16:00,2026-09-03T20:16:00,STAGED,EXCEPTION,APAC,SAME_DAY
ORD-000005,SKU-00603,1,DC-02,STANDARD,2026-08-01T18:29:00,2026-08-02T18:29:00,EXCEPTION,EXCEPTION,MEA,SAME_DAY
ORD-000006,SKU-00410,1,DC-12,CRITICAL,2026-08-22T21:44:00,2026-08-23T03:44:00,STAGED,EXCEPTION,EU,NEXT_DAY
ORD-000007,SKU-00984,1,DC-09,STANDARD,2026-08-10T09:27:00,2026-08-10T21:27:00,RELEASED,RELEASED,MEA,NEXT_DAY
ORD-000008,SKU-00221,1,DC-09,STANDARD,2026-08-08T04:59:00,2026-08-08T12:59:00,SHIPPED,SHIPPED,MEA,SAME_DAY
ORD-000009,SKU-01108,1,DC-13,EXPEDITE,2026-08-21T06:41:00,2026-08-22T06:41:00,PICKING,PICKING,MEA,STANDARD
ORD-000010,SKU-00219,1,DC-13,STANDARD,2026-09-01T09:57:00,2026-09-01T17:57:00,SHIPPED,EXCEPTION,MEA,STANDARD
ORD-000011,SKU-00785,1,DC-14,STANDARD,2026-08-10T20:26:00,2026-08-11T20:26:00,STAGED,STAGED,MEA,NEXT_DAY
ORD-000012,SKU-00877,1,DC-10,STANDARD,2026-08-13T18:15:00,2026-08-14T06:15:00,SHIPPED,SHIPPED,,STANDARD
ORD-000013,SKU-00574,1,DC-18,STANDARD,2026-08-06T09:44:00,2026-08-06T15:44:00,PICKING,HOLD,APAC,NEXT_DAY
ORD-000014,SKU-00194,1,DC-05,STANDARD,2026-08-26T09:03:00,2026-08-26T15:03:00,STAGED,STAGED,EU,NEXT_DAY
ORD-000015,SKU-00726,1,DC-10,STANDARD,2026-08-29T09:17:00,2026-08-30T09:17:00,PICKING,PICKING,APAC,SAME_DAY
ORD-000016,SKU-00570,1,DC-09,STANDARD,2026-08-03T13:53:00,2026-08-04T13:53:00,PICKING,PICKING,,NEXT_DAY
ORD-000017,SKU-01165,1,DC-09,STANDARD,2026-08-09T23:22:00,2026-08-10T11:22:00,RELEASED,RELEASED,,SAME_DAY
ORD-000018,SKU-01061,1,DC-04,STANDARD,2026-08-04T13:44:00,2026-08-04T19:44:00,SHIPPED,SHIPPED,MEA,NEXT_DAY
ORD-000019,SKU-01036,1,DC-01,STANDARD,2026-08-27T11:51:00,2026-08-27T15:51:00,PICKING,PICKING,MEA,SAME_DAY
ORD-000020,SKU-00322,1,DC-14,STANDARD,2026-08-20T17:49:00,2026-08-21T17:49:00,EXCEPTION,EXCEPTION,EU,STANDARD
ORD-000021,SKU-00474,1,DC-05,CRITICAL,2026-08-25T02:20:00,2026-08-26T02:20:00,RELEASED,HOLD,LATAM,SAME_DAY
ORD-000022,SKU-01154,1,DC-09,CRITICAL,2026-08-11T11:31:00,2026-08-11T19:31:00,STAGED,HOLD,,SAME_DAY
ORD-000023,SKU-00039,1,DC-16,STANDARD,2026-09-01T05:49:00,2026-09-01T13:49:00,STAGED,HOLD,APAC,SAME_DAY
ORD-000024,SKU-00678,1,DC-10,STANDARD,2026-08-10T23:53:00,2026-08-11T05:53:00,SHIPPED,SHIPPED,MEA,STANDARD
ORD-000025,SKU-00838,1,DC-15,CRITICAL,2026-08-23T17:30:00,2026-08-24T01:30:00,PACKING,PACKING,MEA,SAME_DAY
ORD-000026,SKU-00079,1,DC-09,EXPEDITE,2026-08-24T21:00:00,2026-08-25T21:00:00,PACKING,HOLD,APAC,SAME_DAY
ORD-000027,SKU-00254,1,DC-18,STANDARD,2026-08-01T07:44:00,2026-08-01T11:44:00,RELEASED,RELEASED,EU,NEXT_DAY
ORD-000028,SKU-00315,1,DC-13,STANDARD,2026-08-02T08:32:00,2026-08-02T16:32:00,PACKING,HOLD,LATAM,NEXT_DAY
ORD-000029,SKU-00579,1,DC-04,STANDARD,2026-08-20T19:47:00,2026-08-21T07:47:00,STAGED,STAGED,EU,NEXT_DAY
ORD-000030,SKU-00236,1,DC-09,STANDARD,2026-09-01T15:47:00,2026-09-01T23:47:00,EXCEPTION,HOLD,LATAM,NEXT_DAY
ORD-000031,SKU-00866,1,DC-09,STANDARD,2026-08-06T10:53:00,2026-08-06T18:53:00,PACKING,EXCEPTION,EU,SAME_DAY
ORD-000032,SKU-00501,1,DC-04,STANDARD,2026-08-25T12:51:00,2026-08-25T18:51:00,EXCEPTION,EXCEPTION,LATAM,NEXT_DAY
ORD-000033,SKU-00753,1,DC-12,STANDARD,2026-08-06T06:05:00,2026-08-06T12:05:00,SHIPPED,SHIPPED,EU,NEXT_DAY
ORD-000034,SKU-00169,1,DC-07,STANDARD,2026-08-11T03:53:00,2026-08-12T03:53:00,RELEASED,RELEASED,MEA,SAME_DAY
ORD-000035,SKU-00029,1,DC-11,EXPEDITE,2026-08-27T13:44:00,2026-08-28T01:44:00,STAGED,STAGED,APAC,NEXT_DAY
ORD-000036,SKU-00125,1,DC-08,STANDARD,2026-08-12T16:34:00,2026-08-13T16:34:00,PACKING,PACKING,,NEXT_DAY
ORD-000037,SKU-00247,1,DC-17,STANDARD,2026-08-27T19:56:00,2026-08-27T23:56:00,RELEASED,HOLD,APAC,STANDARD
ORD-000038,SKU-00808,1,DC-13,STANDARD,2026-09-04T00:41:00,2026-09-04T06:41:00,ALLOCATED,ALLOCATED,,NEXT_DAY
ORD-000039,SKU-00900,1,DC-14,STANDARD,2026-08-10T22:02:00,2026-08-11T10:02:00,STAGED,HOLD,MEA,NEXT_DAY
ORD-000040,SKU-00467,1,DC-04,STANDARD,2026-08-22T05:25:00,2026-08-22T09:25:00,PACKING,PACKING,LATAM,SAME_DAY
ORD-000041,SKU-00443,1,DC-01,EXPEDITE,2026-08-29T07:46:00,2026-08-29T15:46:00,SHIPPED,SHIPPED,MEA,STANDARD
ORD-000042,SKU-00424,1,DC-11,STANDARD,2026-08-15T03:00:00,2026-08-15T09:00:00,RELEASED,EXCEPTION,APAC,STANDARD
ORD-000043,SKU-00336,1,DC-09,STANDARD,2026-09-05T05:55:00,2026-09-05T09:55:00,RELEASED,EXCEPTION,APAC,NEXT_DAY
ORD-000044,SKU-00369,1,DC-03,STANDARD,2026-09-02T22:47:00,2026-09-03T22:47:00,ALLOCATED,EXCEPTION,,STANDARD
ORD-000045,SKU-01105,1,DC-01,STANDARD,2026-08-12T03:46:00,2026-08-12T09:46:00,EXCEPTION,EXCEPTION,MEA,STANDARD
ORD-000046,SKU-00118,1,DC-09,EXPEDITE,2026-08-11T22:02:00,2026-08-12T02:02:00,ALLOCATED,ALLOCATED,APAC,NEXT_DAY
ORD-000047,SKU-00226,1,DC-12,STANDARD,2026-09-04T15:08:00,2026-09-04T19:08:00,STAGED,HOLD,EU,STANDARD
ORD-000048,SKU-00491,1,DC-06,STANDARD,2026-08-12T08:56:00,2026-08-12T20:56:00,SHIPPED,HOLD,EU,NEXT_DAY
