order_id,sku,order_quantity,warehouse_id,priority,created_at,carrier_cutoff,oms_status,wms_status,customer_region,service_level
ORD-100001,SKU-00071,1,DC-03,STANDARD,2026-08-01T06:02:00,2026-08-01T12:02:00,RELEASED,RELEASED,MEA,SAME_DAY
ORD-100002,SKU-00365,1,DC-12,STANDARD,2026-08-01T06:05:00,2026-08-01T12:05:00,SHIPPED,HOLD,LATAM,NEXT_DAY
ORD-100003,SKU-00588,1,DC-04,STANDARD,2026-08-01T06:06:00,2026-08-02T06:06:00,STAGED,STAGED,MEA,SAME_DAY
ORD-100004,SKU-00472,1,DC-15,STANDARD,2026-08-01T06:09:00,2026-08-01T10:09:00,ALLOCATED,ALLOCATED,EU,SAME_DAY
ORD-100005,SKU-01041,1,DC-07,EXPEDITE,2026-08-01T06:12:00,2026-08-01T12:12:00,ALLOCATED,HOLD,APAC,STANDARD
ORD-100006,SKU-01192,1,DC-07,STANDARD,2026-08-01T06:12:00,2026-08-01T10:12:00,EXCEPTION,EXCEPTION,LATAM,STANDARD
ORD-100007,SKU-00685,1,DC-10,STANDARD,2026-08-01T06:15:00,2026-08-01T12:15:00,ALLOCATED,HOLD,APAC,STANDARD
ORD-100008,SKU-00123,1,DC-08,CRITICAL,2026-08-01T06:26:00,2026-08-01T14:26:00,SHIPPED,SHIPPED,APAC,SAME_DAY
ORD-100009,SKU-00594,1,DC-15,STANDARD,2026-08-01T06:50:00,2026-08-01T18:50:00,ALLOCATED,ALLOCATED,EU,SAME_DAY
ORD-100010,SKU-00270,1,DC-04,STANDARD,2026-08-01T06:55:00,2026-08-01T18:55:00,ALLOCATED,ALLOCATED,EU,NEXT_DAY
ORD-100011,SKU-00581,1,DC-10,STANDARD,2026-08-01T07:03:00,2026-08-02T07:03:00,RELEASED,RELEASED,LATAM,SAME_DAY
ORD-100012,SKU-00590,1,DC-02,STANDARD,2026-08-01T07:13:00,2026-08-01T19:13:00,SHIPPED,HOLD,EU,SAME_DAY
ORD-100013,SKU-00556,1,DC-18,STANDARD,2026-08-01T07:14:00,2026-08-02T07:14:00,RELEASED,RELEASED,LATAM,NEXT_DAY
ORD-100014,SKU-00808,1,DC-13,STANDARD,2026-08-01T07:24:00,2026-08-01T13:24:00,ALLOCATED,ALLOCATED,LATAM,SAME_DAY
ORD-100015,SKU-00650,1,DC-07,STANDARD,2026-08-01T07:27:00,2026-08-01T19:27:00,PICKING,PICKING,LATAM,NEXT_DAY
ORD-100016,SKU-01113,1,DC-13,STANDARD,2026-08-01T07:46:00,2026-08-01T15:46:00,SHIPPED,SHIPPED,LATAM,NEXT_DAY
ORD-100017,SKU-00389,1,DC-17,STANDARD,2026-08-01T08:07:00,2026-08-01T14:07:00,SHIPPED,SHIPPED,EU,SAME_DAY
ORD-100018,SKU-00117,1,DC-11,EXPEDITE,2026-08-01T08:16:00,2026-08-02T08:16:00,ALLOCATED,ALLOCATED,APAC,STANDARD
ORD-100019,SKU-01066,1,DC-14,STANDARD,2026-08-01T08:19:00,2026-08-01T14:19:00,SHIPPED,SHIPPED,APAC,NEXT_DAY
ORD-100020,SKU-00158,1,DC-05,CRITICAL,2026-08-01T08:32:00,2026-08-02T08:32:00,RELEASED,RELEASED,EU,SAME_DAY
ORD-100021,SKU-00292,1,DC-15,STANDARD,2026-08-01T08:46:00,2026-08-01T14:46:00,RELEASED,RELEASED,MEA,NEXT_DAY
ORD-100022,SKU-00800,1,DC-07,STANDARD,2026-08-01T08:47:00,2026-08-01T16:47:00,STAGED,STAGED,LATAM,NEXT_DAY
ORD-100023,SKU-00945,1,DC-05,EXPEDITE,2026-08-01T08:49:00,2026-08-01T16:49:00,STAGED,STAGED,APAC,SAME_DAY
ORD-100024,SKU-00427,1,DC-03,STANDARD,2026-08-01T08:57:00,2026-08-01T12:57:00,EXCEPTION,HOLD,EU,SAME_DAY
ORD-100025,SKU-00930,1,DC-14,STANDARD,2026-08-01T09:04:00,2026-08-01T15:04:00,PACKING,PACKING,EU,NEXT_DAY
ORD-100026,SKU-00054,1,DC-01,STANDARD,2026-08-01T09:13:00,2026-08-01T13:13:00,EXCEPTION,EXCEPTION,MEA,NEXT_DAY
ORD-100027,SKU-00443,1,DC-13,STANDARD,2026-08-01T09:38:00,2026-08-01T13:38:00,PACKING,HOLD,EU,NEXT_DAY
ORD-100028,SKU-00746,1,DC-11,EXPEDITE,2026-08-01T09:43:00,2026-08-01T15:43:00,EXCEPTION,HOLD,EU,SAME_DAY
ORD-100029,SKU-01090,1,DC-15,CRITICAL,2026-08-01T09:48:00,2026-08-01T21:48:00,SHIPPED,HOLD,LATAM,NEXT_DAY
ORD-100030,SKU-00435,1,DC-10,STANDARD,2026-08-01T09:55:00,2026-08-01T15:55:00,PICKING,PICKING,APAC,NEXT_DAY
ORD-100031,SKU-00773,1,DC-15,STANDARD,2026-08-01T09:55:00,2026-08-02T09:55:00,STAGED,STAGED,LATAM,NEXT_DAY
ORD-100032,SKU-01015,1,DC-07,STANDARD,2026-08-01T10:33:00,2026-08-01T16:33:00,SHIPPED,EXCEPTION,MEA,STANDARD
ORD-100033,SKU-00476,1,DC-16,CRITICAL,2026-08-01T10:33:00,2026-08-01T18:33:00,RELEASED,HOLD,EU,SAME_DAY
ORD-100034,SKU-01150,1,DC-12,EXPEDITE,2026-08-01T10:44:00,2026-08-01T16:44:00,EXCEPTION,EXCEPTION,EU,STANDARD
ORD-100035,SKU-00362,1,DC-02,CRITICAL,2026-08-01T10:50:00,2026-08-01T14:50:00,ALLOCATED,HOLD,APAC,SAME_DAY
ORD-100036,SKU-00196,1,DC-18,STANDARD,2026-08-01T10:50:00,2026-08-01T14:50:00,STAGED,HOLD,EU,SAME_DAY
ORD-100037,SKU-00571,1,DC-17,EXPEDITE,2026-08-01T10:54:00,2026-08-02T10:54:00,SHIPPED,HOLD,LATAM,STANDARD
ORD-100038,SKU-00579,1,DC-16,STANDARD,2026-08-01T10:58:00,2026-08-02T10:58:00,ALLOCATED,HOLD,LATAM,SAME_DAY
ORD-100039,SKU-00431,1,DC-09,STANDARD,2026-08-01T11:06:00,2026-08-01T17:06:00,PICKING,EXCEPTION,LATAM,SAME_DAY
ORD-100040,SKU-00301,1,DC-14,CRITICAL,2026-08-01T11:07:00,2026-08-01T23:07:00,ALLOCATED,ALLOCATED,EU,NEXT_DAY
ORD-100041,SKU-00680,1,DC-16,STANDARD,2026-08-01T11:08:00,2026-08-01T15:08:00,PACKING,PACKING,EU,SAME_DAY
ORD-100042,SKU-00520,1,DC-11,CRITICAL,2026-08-01T11:10:00,2026-08-02T11:10:00,RELEASED,EXCEPTION,APAC,SAME_DAY
ORD-100043,SKU-00267,1,DC-10,STANDARD,2026-08-01T11:21:00,2026-08-01T17:21:00,EXCEPTION,EXCEPTION,EU,NEXT_DAY
ORD-100044,SKU-00577,1,DC-12,EXPEDITE,2026-08-01T11:29:00,2026-08-01T23:29:00,RELEASED,HOLD,APAC,SAME_DAY
ORD-100045,SKU-01131,1,DC-05,STANDARD,2026-08-01T11:33:00,2026-08-02T11:33:00,EXCEPTION,EXCEPTION,APAC,NEXT_DAY
ORD-100046,SKU-01155,1,DC-09,STANDARD,2026-08-01T11:53:00,2026-08-01T17:53:00,PACKING,PACKING,APAC,SAME_DAY
ORD-100047,SKU-00109,1,DC-17,STANDARD,2026-08-01T11:57:00,2026-08-01T23:57:00,RELEASED,RELEASED,EU,NEXT_DAY
ORD-100048,SKU-00424,1,DC-11,STANDARD,2026-08-01T12:02:00,2026-08-02T12:02:00,SHIPPED,SHIPPED,LATAM,STANDARD
