shipment_id,order_id,warehouse_id,tms_status,carrier,planned_departure,actual_departure
SHP-100001,ORD-100001,DC-03,DELAYED,Carrier-A,2026-08-01T14:37:00,2026-08-01T13:54:00
SHP-100002,ORD-100002,DC-12,PLANNED,Carrier-C,2026-08-01T15:28:00,2026-08-01T14:24:00
SHP-100003,ORD-100003,DC-04,DELAYED,Carrier-A,2026-08-01T13:09:00,2026-08-01T13:52:00
SHP-100004,ORD-100004,DC-15,DEPARTED,Carrier-D,2026-08-01T15:01:00,2026-08-01T13:34:00
SHP-100005,ORD-100005,DC-07,PLANNED,Carrier-D,2026-08-01T13:02:00,2026-08-01T13:33:00
SHP-100006,ORD-100006,DC-07,PLANNED,Carrier-B,2026-08-01T15:34:00,2026-08-01T14:40:00
SHP-100007,ORD-100007,DC-10,AT_DOCK,Carrier-B,2026-08-01T13:57:00,2026-08-01T13:20:00
SHP-100008,ORD-100008,DC-08,DELAYED,Carrier-D,2026-08-01T15:56:00,2026-08-01T14:36:00
SHP-100009,ORD-100009,DC-15,AT_DOCK,Carrier-B,2026-08-01T17:01:00,2026-08-01T15:43:00
SHP-100010,ORD-100010,DC-04,DELAYED,Carrier-B,2026-08-01T15:53:00,2026-08-01T15:42:00
SHP-100011,ORD-100011,DC-10,DELAYED,Carrier-B,2026-08-01T15:30:00,2026-08-01T15:55:00
SHP-100012,ORD-100012,DC-02,DEPARTED,Carrier-B,2026-08-01T17:07:00,2026-08-01T16:01:00
SHP-100013,ORD-100013,DC-18,DELAYED,Carrier-D,2026-08-01T14:34:00,2026-08-01T15:01:00
SHP-100014,ORD-100014,DC-13,BOOKED,Carrier-A,2026-08-01T17:14:00,2026-08-01T15:51:00
SHP-100015,ORD-100015,DC-07,PLANNED,Carrier-A,2026-08-01T16:44:00,2026-08-01T15:35:00
SHP-100016,ORD-100016,DC-13,LOADED,Carrier-A,2026-08-01T17:06:00,2026-08-01T16:17:00
SHP-100017,ORD-100017,DC-17,DELAYED,Carrier-D,2026-08-01T15:13:00,2026-08-01T15:25:00
SHP-100018,ORD-100018,DC-11,DEPARTED,Carrier-C,2026-08-01T16:36:00,2026-08-01T15:37:00
SHP-100019,ORD-100019,DC-14,LOADED,Carrier-B,2026-08-01T16:11:00,2026-08-01T16:51:00
SHP-100020,ORD-100020,DC-05,BOOKED,Carrier-C,2026-08-01T18:22:00,2026-08-01T17:11:00
SHP-100021,ORD-100021,DC-15,AT_DOCK,Carrier-D,2026-08-01T18:36:00,2026-08-01T17:12:00
SHP-100022,ORD-100022,DC-07,PLANNED,Carrier-D,2026-08-01T18:29:00,2026-08-01T17:31:00
SHP-100023,ORD-100023,DC-05,AT_DOCK,Carrier-D,2026-08-01T15:57:00,2026-08-01T16:12:00
SHP-100024,ORD-100024,DC-03,AT_DOCK,Carrier-A,2026-08-01T16:21:00,2026-08-01T17:01:00
SHP-100025,ORD-100025,DC-14,BOOKED,Carrier-A,2026-08-01T18:07:00,2026-08-01T17:11:00
SHP-100026,ORD-100026,DC-01,AT_DOCK,Carrier-B,2026-08-01T16:18:00,2026-08-01T16:53:00
SHP-100027,ORD-100027,DC-13,AT_DOCK,Carrier-C,2026-08-01T19:43:00,2026-08-01T18:32:00
SHP-100028,ORD-100028,DC-11,DELAYED,Carrier-A,2026-08-01T16:28:00,2026-08-01T16:53:00
SHP-100029,ORD-100029,DC-15,DELAYED,Carrier-A,2026-08-01T17:41:00,2026-08-01T18:17:00
SHP-100030,ORD-100030,DC-10,BOOKED,Carrier-C,2026-08-01T17:13:00,2026-08-01T17:47:00
SHP-100031,ORD-100031,DC-15,BOOKED,Carrier-A,2026-08-01T18:36:00,2026-08-01T18:48:00
SHP-100032,ORD-100032,DC-07,BOOKED,Carrier-C,2026-08-01T20:15:00,2026-08-01T18:45:00
SHP-100033,ORD-100033,DC-16,BOOKED,Carrier-B,2026-08-01T18:49:00,2026-08-01T19:32:00
SHP-100034,ORD-100034,DC-12,AT_DOCK,Carrier-C,2026-08-01T20:14:00,2026-08-01T18:59:00
SHP-100035,ORD-100035,DC-02,LOADED,Carrier-D,2026-08-01T20:21:00,2026-08-01T18:51:00
SHP-100036,ORD-100036,DC-18,DEPARTED,Carrier-B,2026-08-01T19:42:00,2026-08-01T18:54:00
SHP-100037,ORD-100037,DC-17,PLANNED,Carrier-D,2026-08-01T19:09:00,2026-08-01T17:59:00
SHP-100038,ORD-100038,DC-16,AT_DOCK,Carrier-B,2026-08-01T21:09:00,2026-08-01T19:47:00
SHP-100039,ORD-100039,DC-09,DELAYED,Carrier-D,2026-08-01T19:58:00,2026-08-01T18:59:00
SHP-100040,ORD-100040,DC-14,DELAYED,Carrier-A,2026-08-01T19:22:00,2026-08-01T19:02:00
SHP-100041,ORD-100041,DC-16,BOOKED,Carrier-D,2026-08-01T20:00:00,2026-08-01T18:45:00
SHP-100042,ORD-100042,DC-11,BOOKED,Carrier-B,2026-08-01T18:26:00,2026-08-01T19:06:00
SHP-100043,ORD-100043,DC-10,LOADED,Carrier-C,2026-08-01T20:16:00,2026-08-01T19:20:00
SHP-100044,ORD-100044,DC-12,DEPARTED,Carrier-B,2026-08-01T19:48:00,2026-08-01T20:18:00
SHP-100045,ORD-100045,DC-05,LOADED,Carrier-B,2026-08-01T21:05:00,2026-08-01T20:15:00
SHP-100046,ORD-100046,DC-09,DELAYED,Carrier-A,2026-08-01T21:11:00,2026-08-01T20:26:00
SHP-100047,ORD-100047,DC-17,DEPARTED,Carrier-B,2026-08-01T20:15:00,2026-08-01T20:06:00
SHP-100048,ORD-100048,DC-11,DELAYED,Carrier-D,2026-08-01T21:25:00,2026-08-01T20:15:00
SHP-100049,ORD-100049,DC-06,LOADED,Carrier-C,2026-08-01T20:15:00,2026-08-01T20:06:00
SHP-100050,ORD-100050,DC-13,PLANNED,Carrier-C,2026-08-01T22:10:00,2026-08-01T21:03:00
SHP-100051,ORD-100051,DC-02,PLANNED,Carrier-A,2026-08-01T19:24:00,2026-08-01T19:17:00
SHP-100052,ORD-100052,DC-01,DEPARTED,Carrier-C,2026-08-01T21:29:00,2026-08-01T21:17:00
SHP-100053,ORD-100053,DC-12,DELAYED,Carrier-A,2026-08-01T21:47:00,2026-08-01T21:58:00
SHP-100054,ORD-100054,DC-08,AT_DOCK,Carrier-D,2026-08-01T22:41:00,2026-08-01T21:23:00
SHP-100055,ORD-100055,DC-15,PLANNED,Carrier-B,2026-08-01T22:27:00,2026-08-01T21:30:00
SHP-100056,ORD-100056,DC-12,BOOKED,Carrier-A,2026-08-01T21:07:00,2026-08-01T21:13:00
SHP-100057,ORD-100057,DC-16,PLANNED,Carrier-B,2026-08-01T22:30:00,2026-08-01T21:02:00
SHP-100058,ORD-100058,DC-13,AT_DOCK,Carrier-A,2026-08-01T21:59:00,2026-08-01T22:25:00
SHP-100059,ORD-100059,DC-10,AT_DOCK,Carrier-A,2026-08-01T22:59:00,2026-08-01T22:41:00
SHP-100060,ORD-100060,DC-17,PLANNED,Carrier-B,2026-08-01T22:31:00,2026-08-01T22:22:00
SHP-100061,ORD-100061,DC-03,BOOKED,Carrier-B,2026-08-01T22:25:00,2026-08-01T21:54:00
SHP-100062,ORD-100062,DC-05,LOADED,Carrier-C,2026-08-01T23:59:00,2026-08-01T22:47:00
SHP-100063,ORD-100063,DC-18,AT_DOCK,Carrier-B,2026-08-01T23:11:00,2026-08-01T22:38:00
SHP-100064,ORD-100064,DC-17,DELAYED,Carrier-B,2026-08-01T22:29:00,2026-08-01T22:37:00
SHP-100065,ORD-100065,DC-05,LOADED,Carrier-D,2026-08-01T21:56:00,2026-08-01T22:30:00
SHP-100066,ORD-100066,DC-06,DELAYED,Carrier-A,2026-08-01T22:47:00,2026-08-01T22:34:00
SHP-100067,ORD-100067,DC-07,DELAYED,Carrier-A,2026-08-01T22:52:00,2026-08-01T22:47:00
SHP-100068,ORD-100068,DC-18,DEPARTED,Carrier-B,2026-08-01T23:29:00,2026-08-01T23:02:00
SHP-100069,ORD-100069,DC-16,DELAYED,Carrier-B,2026-08-02T00:59:00,2026-08-01T23:48:00
SHP-100070,ORD-100070,DC-02,PLANNED,Carrier-D,2026-08-01T23:39:00,2026-08-01T23:51:00
SHP-100071,ORD-100071,DC-01,AT_DOCK,Carrier-B,2026-08-01T23:02:00,2026-08-01T23:32:00
SHP-100072,ORD-100072,DC-13,BOOKED,Carrier-B,2026-08-02T01:28:00,2026-08-02T00:07:00
SHP-100073,ORD-100073,DC-10,LOADED,Carrier-A,2026-08-02T00:53:00,2026-08-02T00:00:00
SHP-100074,ORD-100074,DC-18,DEPARTED,Carrier-A,2026-08-01T23:45:00,2026-08-01T23:26:00
SHP-100075,ORD-100075,DC-04,PLANNED,Carrier-C,2026-08-02T00:56:00,2026-08-01T23:54:00
SHP-100076,ORD-100076,DC-04,DEPARTED,Carrier-B,2026-08-02T00:25:00,2026-08-01T23:28:00
SHP-100077,ORD-100077,DC-01,BOOKED,Carrier-C,2026-08-02T00:59:00,2026-08-02T00:25:00
SHP-100078,ORD-100078,DC-16,DELAYED,Carrier-A,2026-08-01T22:37:00,2026-08-01T23:10:00
SHP-100079,ORD-100079,DC-03,DEPARTED,Carrier-C,2026-08-02T00:06:00,2026-08-02T00:37:00
SHP-100080,ORD-100080,DC-16,PLANNED,Carrier-A,2026-08-01T22:38:00,2026-08-01T23:12:00
SHP-100081,ORD-100081,DC-08,PLANNED,Carrier-A,2026-08-01T23:40:00,2026-08-01T23:50:00
SHP-100082,ORD-100082,DC-15,DELAYED,Carrier-C,2026-08-01T23:56:00,2026-08-02T00:36:00
SHP-100083,ORD-100083,DC-17,PLANNED,Carrier-D,2026-08-01T23:45:00,2026-08-02T00:28:00
SHP-100084,ORD-100084,DC-16,LOADED,Carrier-B,2026-08-01T23:08:00,2026-08-01T23:14:00
SHP-100085,ORD-100085,DC-17,AT_DOCK,Carrier-A,2026-08-01T23:56:00,2026-08-02T00:14:00
SHP-100086,ORD-100086,DC-17,LOADED,Carrier-B,2026-08-01T23:57:00,2026-08-02T00:09:00
SHP-100087,ORD-100087,DC-04,AT_DOCK,Carrier-C,2026-08-02T01:01:00,2026-08-02T00:41:00
SHP-100088,ORD-100088,DC-15,DEPARTED,Carrier-D,2026-08-02T02:30:00,2026-08-02T02:04:00
SHP-100089,ORD-100089,DC-08,PLANNED,Carrier-B,2026-08-02T01:48:00,2026-08-02T02:19:00
SHP-100090,ORD-100090,DC-14,DEPARTED,Carrier-A,2026-08-02T01:20:00,2026-08-02T00:30:00
SHP-100091,ORD-100091,DC-16,BOOKED,Carrier-B,2026-08-02T01:05:00,2026-08-02T01:37:00
SHP-100092,ORD-100092,DC-04,DELAYED,Carrier-D,2026-08-02T02:30:00,2026-08-02T01:45:00
SHP-100093,ORD-100093,DC-01,DEPARTED,Carrier-A,2026-08-02T03:02:00,2026-08-02T02:33:00
SHP-100094,ORD-100094,DC-06,DELAYED,Carrier-D,2026-08-02T01:21:00,2026-08-02T01:44:00
SHP-100095,ORD-100095,DC-01,DEPARTED,Carrier-A,2026-08-02T01:41:00,2026-08-02T01:56:00
SHP-100096,ORD-100096,DC-11,BOOKED,Carrier-C,2026-08-02T02:31:00,2026-08-02T01:35:00
SHP-100097,ORD-100097,DC-11,DEPARTED,Carrier-D,2026-08-02T02:03:00,2026-08-02T02:37:00
SHP-100098,ORD-100098,DC-14,BOOKED,Carrier-A,2026-08-02T02:41:00,2026-08-02T02:51:00
SHP-100099,ORD-100099,DC-10,PLANNED,Carrier-D,2026-08-02T02:39:00,2026-08-02T01:58:00
SHP-100100,ORD-100100,DC-16,AT_DOCK,Carrier-D,2026-08-02T02:59:00,2026-08-02T02:33:00
