robot_id,warehouse_id,soc_pct,soh_pct,preferred_charger,charging_eligible,next_pm_days
RBT-0001,DC-01,72,82,DC-01-CHARGER-02,Y,38
RBT-0002,DC-01,87,96,DC-01-CHARGER-01,N,63
RBT-0003,DC-01,31,70,DC-01-CHARGER-06,Y,-2
RBT-0004,DC-01,88,99,DC-01-CHARGER-03,Y,78
RBT-0005,DC-01,100,98,DC-01-CHARGER-01,Y,115
RBT-0006,DC-01,87,90,DC-01-CHARGER-01,Y,63
RBT-0007,DC-01,31,70,DC-01-CHARGER-01,Y,6
RBT-0008,DC-01,28,85,DC-01-CHARGER-04,Y,58
RBT-0009,DC-01,86,68,DC-01-CHARGER-02,Y,14
RBT-0010,DC-01,24,97,DC-01-CHARGER-06,Y,43
RBT-0011,DC-01,91,89,DC-01-CHARGER-07,Y,42
RBT-0012,DC-01,77,94,DC-01-CHARGER-06,Y,72
RBT-0013,DC-01,41,92,DC-01-CHARGER-07,Y,35
RBT-0014,DC-01,62,88,DC-01-CHARGER-03,Y,3
RBT-0015,DC-01,8,96,DC-01-CHARGER-08,Y,21
RBT-0016,DC-01,43,93,DC-01-CHARGER-02,Y,103
RBT-0017,DC-01,19,94,DC-01-CHARGER-03,Y,108
RBT-0018,DC-01,69,95,DC-01-CHARGER-06,Y,40
RBT-0019,DC-01,13,84,DC-01-CHARGER-02,Y,100
RBT-0020,DC-01,47,85,DC-01-CHARGER-08,N,15
RBT-0021,DC-01,28,71,DC-01-CHARGER-01,Y,85
RBT-0022,DC-01,75,80,DC-01-CHARGER-01,Y,-14
RBT-0023,DC-01,23,97,DC-01-CHARGER-07,Y,41
RBT-0024,DC-01,69,73,DC-01-CHARGER-06,Y,5
RBT-0025,DC-01,84,94,DC-01-CHARGER-05,Y,110
RBT-0026,DC-01,85,82,DC-01-CHARGER-04,Y,-2
RBT-0027,DC-01,95,100,DC-01-CHARGER-03,Y,71
RBT-0028,DC-01,25,89,DC-01-CHARGER-01,Y,117
RBT-0029,DC-01,40,87,DC-01-CHARGER-04,Y,103
RBT-0030,DC-01,8,75,DC-01-CHARGER-07,Y,97
RBT-0031,DC-01,81,87,DC-01-CHARGER-07,Y,10
RBT-0032,DC-01,66,72,DC-01-CHARGER-06,Y,107
RBT-0033,DC-01,90,96,DC-01-CHARGER-02,Y,48
RBT-0034,DC-01,85,95,DC-01-CHARGER-08,Y,-13
RBT-0035,DC-01,53,72,DC-01-CHARGER-06,Y,37
RBT-0036,DC-01,98,83,DC-01-CHARGER-04,Y,-3
RBT-0037,DC-01,84,72,DC-01-CHARGER-01,Y,1
RBT-0038,DC-01,76,97,DC-01-CHARGER-02,Y,-4
RBT-0039,DC-01,26,73,DC-01-CHARGER-06,Y,97
RBT-0040,DC-01,42,92,DC-01-CHARGER-04,N,10
RBT-0041,DC-01,67,82,DC-01-CHARGER-04,Y,22
RBT-0042,DC-01,16,75,DC-01-CHARGER-06,Y,86
RBT-0043,DC-02,95,96,DC-02-CHARGER-04,Y,31
RBT-0044,DC-02,63,73,DC-02-CHARGER-05,Y,15
RBT-0045,DC-02,54,78,DC-02-CHARGER-05,Y,54
RBT-0046,DC-02,98,98,DC-02-CHARGER-06,Y,35
RBT-0047,DC-02,59,75,DC-02-CHARGER-06,Y,107
RBT-0048,DC-02,22,99,DC-02-CHARGER-01,Y,112
RBT-0049,DC-02,52,72,DC-02-CHARGER-01,Y,33
RBT-0050,DC-02,87,73,DC-02-CHARGER-04,Y,77
RBT-0051,DC-02,25,95,DC-02-CHARGER-05,Y,117
RBT-0052,DC-02,65,68,DC-02-CHARGER-04,Y,92
RBT-0053,DC-02,52,72,DC-02-CHARGER-03,Y,106
RBT-0054,DC-02,57,86,DC-02-CHARGER-08,Y,63
RBT-0055,DC-02,26,68,DC-02-CHARGER-05,Y,38
RBT-0056,DC-02,64,82,DC-02-CHARGER-04,Y,72
RBT-0057,DC-02,29,77,DC-02-CHARGER-03,Y,13
RBT-0058,DC-02,42,95,DC-02-CHARGER-05,Y,101
RBT-0059,DC-02,15,89,DC-02-CHARGER-03,Y,-7
RBT-0060,DC-02,55,72,DC-02-CHARGER-03,Y,32
RBT-0061,DC-02,19,75,DC-02-CHARGER-08,Y,-12
RBT-0062,DC-02,90,98,DC-02-CHARGER-03,Y,100
RBT-0063,DC-02,75,71,DC-02-CHARGER-07,Y,91
RBT-0064,DC-02,81,88,DC-02-CHARGER-08,Y,11
RBT-0065,DC-02,44,77,DC-02-CHARGER-07,Y,104
RBT-0066,DC-02,29,68,DC-02-CHARGER-02,Y,111
RBT-0067,DC-02,89,99,DC-02-CHARGER-06,Y,-4
RBT-0068,DC-02,91,73,DC-02-CHARGER-02,Y,-10
RBT-0069,DC-02,29,97,DC-02-CHARGER-04,Y,13
RBT-0070,DC-02,28,68,DC-02-CHARGER-07,Y,61
RBT-0071,DC-02,53,89,DC-02-CHARGER-08,Y,7
RBT-0072,DC-02,18,89,DC-02-CHARGER-01,Y,74
RBT-0073,DC-02,99,98,DC-02-CHARGER-01,N,42
RBT-0074,DC-02,30,71,DC-02-CHARGER-02,Y,109
RBT-0075,DC-02,25,88,DC-02-CHARGER-06,Y,53
RBT-0076,DC-02,60,71,DC-02-CHARGER-06,Y,-1
RBT-0077,DC-02,42,93,DC-02-CHARGER-01,Y,38
RBT-0078,DC-02,65,86,DC-02-CHARGER-01,Y,27
RBT-0079,DC-02,14,69,DC-02-CHARGER-01,Y,14
RBT-0080,DC-02,61,88,DC-02-CHARGER-04,Y,27
RBT-0081,DC-02,35,96,DC-02-CHARGER-08,Y,34
RBT-0082,DC-02,22,89,DC-02-CHARGER-06,Y,87
RBT-0083,DC-02,22,78,DC-02-CHARGER-02,Y,4
RBT-0084,DC-02,99,76,DC-02-CHARGER-03,Y,79
RBT-0085,DC-02,62,71,DC-02-CHARGER-05,Y,37
RBT-0086,DC-03,58,72,DC-03-CHARGER-06,Y,74
RBT-0087,DC-03,36,100,DC-03-CHARGER-06,Y,21
RBT-0088,DC-03,36,78,DC-03-CHARGER-03,Y,-10
RBT-0089,DC-03,80,70,DC-03-CHARGER-03,Y,82
RBT-0090,DC-03,20,76,DC-03-CHARGER-01,Y,117
RBT-0091,DC-03,91,97,DC-03-CHARGER-01,Y,18
RBT-0092,DC-03,19,92,DC-03-CHARGER-03,Y,-10
RBT-0093,DC-03,70,72,DC-03-CHARGER-05,Y,30
RBT-0094,DC-03,57,73,DC-03-CHARGER-08,Y,30
RBT-0095,DC-03,95,87,DC-03-CHARGER-05,Y,68
RBT-0096,DC-03,38,99,DC-03-CHARGER-05,Y,35
RBT-0097,DC-03,26,93,DC-03-CHARGER-03,Y,0
RBT-0098,DC-03,59,95,DC-03-CHARGER-03,Y,84
RBT-0099,DC-03,96,80,DC-03-CHARGER-08,Y,16
RBT-0100,DC-03,73,70,DC-03-CHARGER-01,Y,82
RBT-0101,DC-03,43,94,DC-03-CHARGER-06,Y,91
RBT-0102,DC-03,82,92,DC-03-CHARGER-07,Y,4
RBT-0103,DC-03,42,75,DC-03-CHARGER-02,Y,112
RBT-0104,DC-03,53,96,DC-03-CHARGER-07,Y,33
RBT-0105,DC-03,21,98,DC-03-CHARGER-06,Y,33
RBT-0106,DC-03,11,72,DC-03-CHARGER-02,Y,97
RBT-0107,DC-03,30,81,DC-03-CHARGER-04,Y,-14
RBT-0108,DC-03,36,88,DC-03-CHARGER-04,Y,106
RBT-0109,DC-03,90,69,DC-03-CHARGER-01,Y,49
RBT-0110,DC-03,83,82,DC-03-CHARGER-05,Y,116
RBT-0111,DC-03,66,76,DC-03-CHARGER-06,Y,-11
RBT-0112,DC-03,53,77,DC-03-CHARGER-03,Y,61
RBT-0113,DC-03,65,72,DC-03-CHARGER-06,N,15
RBT-0114,DC-03,92,78,DC-03-CHARGER-07,Y,113
RBT-0115,DC-03,99,68,DC-03-CHARGER-06,Y,109
RBT-0116,DC-03,9,84,DC-03-CHARGER-04,Y,89
RBT-0117,DC-03,24,87,DC-03-CHARGER-02,Y,102
RBT-0118,DC-03,65,81,DC-03-CHARGER-08,Y,93
RBT-0119,DC-03,82,77,DC-03-CHARGER-04,N,99
RBT-0120,DC-03,100,85,DC-03-CHARGER-01,Y,-2
RBT-0121,DC-03,32,84,DC-03-CHARGER-07,Y,44
RBT-0122,DC-03,40,93,DC-03-CHARGER-04,Y,34
RBT-0123,DC-03,37,89,DC-03-CHARGER-04,Y,29
RBT-0124,DC-03,18,96,DC-03-CHARGER-05,Y,104
RBT-0125,DC-03,85,84,DC-03-CHARGER-04,Y,98
RBT-0126,DC-04,66,77,DC-04-CHARGER-02,Y,69
RBT-0127,DC-04,79,96,DC-04-CHARGER-02,Y,69
RBT-0128,DC-04,81,76,DC-04-CHARGER-05,Y,14
RBT-0129,DC-04,63,72,DC-04-CHARGER-02,Y,56
RBT-0130,DC-04,34,100,DC-04-CHARGER-03,Y,60
RBT-0131,DC-04,30,73,DC-04-CHARGER-02,Y,-6
RBT-0132,DC-04,49,78,DC-04-CHARGER-08,Y,115
RBT-0133,DC-04,19,72,DC-04-CHARGER-02,Y,78
RBT-0134,DC-04,26,90,DC-04-CHARGER-07,N,58
RBT-0135,DC-04,9,94,DC-04-CHARGER-08,Y,107
RBT-0136,DC-04,14,69,DC-04-CHARGER-03,Y,36
RBT-0137,DC-04,31,86,DC-04-CHARGER-06,N,101
RBT-0138,DC-04,82,82,DC-04-CHARGER-01,N,-1
RBT-0139,DC-04,92,81,DC-04-CHARGER-05,Y,8
RBT-0140,DC-04,72,70,DC-04-CHARGER-07,Y,33
