warehouse_id,sku,location,wms_qty,erp_qty,vision_qty,reserved_qty,inventory_status,last_cycle_count_days
DC-01,SKU-01146,DC-01-Z03-B017,205,205,202,16,AVAILABLE,2
DC-01,SKU-00035,DC-01-Z02-B036,140,140,141,20,AVAILABLE,2
DC-01,SKU-00952,DC-01-Z04-B030,148,148,147,10,AVAILABLE,146
DC-01,SKU-01169,DC-01-Z09-B001,97,95,97,11,AVAILABLE,171
DC-01,SKU-00327,DC-01-Z04-B041,204,203,204,14,AVAILABLE,42
DC-01,SKU-01051,DC-01-Z03-B072,204,204,205,2,AVAILABLE,124
DC-01,SKU-00683,DC-01-Z10-B036,134,134,134,4,AVAILABLE,1
DC-01,SKU-00077,DC-01-Z08-B060,5,5,8,0,AVAILABLE,129
DC-01,SKU-00844,DC-01-Z12-B079,189,188,188,13,AVAILABLE,165
DC-01,SKU-01141,DC-01-Z02-B059,188,188,191,13,AVAILABLE,83
DC-01,SKU-00018,DC-01-Z01-B075,114,113,114,6,AVAILABLE,130
DC-01,SKU-00922,DC-01-Z04-B054,198,197,198,15,AVAILABLE,125
DC-01,SKU-00303,DC-01-Z02-B026,170,170,170,5,AVAILABLE,63
DC-01,SKU-00983,DC-01-Z08-B068,61,61,58,18,AVAILABLE,14
DC-01,SKU-00136,DC-01-Z04-B054,194,196,194,14,AVAILABLE,27
DC-01,SKU-01100,DC-01-Z02-B075,28,28,27,4,AVAILABLE,165
DC-01,SKU-00442,DC-01-Z01-B039,172,171,171,6,AVAILABLE,168
DC-01,SKU-00551,DC-01-Z01-B055,18,19,19,17,AVAILABLE,139
DC-01,SKU-00436,DC-01-Z10-B052,23,23,20,3,AVAILABLE,54
DC-01,SKU-00372,DC-01-Z10-B061,54,56,54,8,AVAILABLE,155
DC-01,SKU-00074,DC-01-Z10-B058,22,22,22,5,HOLD,139
DC-01,SKU-00118,DC-01-Z11-B003,38,38,41,1,AVAILABLE,163
DC-01,SKU-00658,DC-01-Z05-B016,177,177,180,15,AVAILABLE,87
DC-01,SKU-00881,DC-01-Z04-B040,147,148,148,2,QUARANTINE,87
DC-01,SKU-00207,DC-01-Z02-B027,195,193,195,10,AVAILABLE,4
