order_id,warehouse_id,priority,created_at,carrier_cutoff,oms_status,wms_status,customer_region,service_level
ORD-000001,DC-17,EXPEDITE,2026-08-16T04:23:00,2026-08-17T04:23:00,PICKING,PICKING,LATAM,STANDARD
ORD-000002,DC-13,CRITICAL,2026-08-07T21:31:00,2026-08-08T01:31:00,RELEASED,RELEASED,MEA,STANDARD
ORD-000003,DC-10,EXPEDITE,2026-08-04T08:09:00,2026-08-04T12:09:00,PACKING,EXCEPTION,LATAM,STANDARD
ORD-000004,DC-16,CRITICAL,2026-09-02T20:16:00,2026-09-03T20:16:00,STAGED,EXCEPTION,APAC,SAME_DAY
ORD-000005,DC-02,STANDARD,2026-08-01T18:29:00,2026-08-02T18:29:00,EXCEPTION,EXCEPTION,MEA,SAME_DAY
ORD-000006,DC-12,CRITICAL,2026-08-22T21:44:00,2026-08-23T03:44:00,STAGED,EXCEPTION,EU,NEXT_DAY
ORD-000007,DC-09,STANDARD,2026-08-10T09:27:00,2026-08-10T21:27:00,RELEASED,RELEASED,MEA,NEXT_DAY
ORD-000008,DC-09,STANDARD,2026-08-08T04:59:00,2026-08-08T12:59:00,SHIPPED,SHIPPED,MEA,SAME_DAY
ORD-000009,DC-13,EXPEDITE,2026-08-21T06:41:00,2026-08-22T06:41:00,PICKING,PICKING,MEA,STANDARD
ORD-000010,DC-13,STANDARD,2026-09-01T09:57:00,2026-09-01T17:57:00,SHIPPED,EXCEPTION,MEA,STANDARD
ORD-000011,DC-14,STANDARD,2026-08-10T20:26:00,2026-08-11T20:26:00,STAGED,STAGED,MEA,NEXT_DAY
ORD-000012,DC-10,STANDARD,2026-08-13T18:15:00,2026-08-14T06:15:00,SHIPPED,SHIPPED,NA,STANDARD
ORD-000013,DC-18,STANDARD,2026-08-06T09:44:00,2026-08-06T15:44:00,PICKING,HOLD,APAC,NEXT_DAY
ORD-000014,DC-05,STANDARD,2026-08-26T09:03:00,2026-08-26T15:03:00,STAGED,STAGED,EU,NEXT_DAY
ORD-000015,DC-10,STANDARD,2026-08-29T09:17:00,2026-08-30T09:17:00,PICKING,PICKING,APAC,SAME_DAY
ORD-000016,DC-09,STANDARD,2026-08-03T13:53:00,2026-08-04T13:53:00,PICKING,PICKING,NA,NEXT_DAY
ORD-000017,DC-09,STANDARD,2026-08-09T23:22:00,2026-08-10T11:22:00,RELEASED,RELEASED,NA,SAME_DAY
ORD-000018,DC-04,STANDARD,2026-08-04T13:44:00,2026-08-04T19:44:00,SHIPPED,SHIPPED,MEA,NEXT_DAY
ORD-000019,DC-01,STANDARD,2026-08-27T11:51:00,2026-08-27T15:51:00,PICKING,PICKING,MEA,SAME_DAY
ORD-000020,DC-14,STANDARD,2026-08-20T17:49:00,2026-08-21T17:49:00,EXCEPTION,EXCEPTION,EU,STANDARD
ORD-000021,DC-05,CRITICAL,2026-08-25T02:20:00,2026-08-26T02:20:00,RELEASED,HOLD,LATAM,SAME_DAY
ORD-000022,DC-09,CRITICAL,2026-08-11T11:31:00,2026-08-11T19:31:00,STAGED,HOLD,NA,SAME_DAY
ORD-000023,DC-16,STANDARD,2026-09-01T05:49:00,2026-09-01T13:49:00,STAGED,HOLD,APAC,SAME_DAY
ORD-000024,DC-10,STANDARD,2026-08-10T23:53:00,2026-08-11T05:53:00,SHIPPED,SHIPPED,MEA,STANDARD
ORD-000025,DC-15,CRITICAL,2026-08-23T17:30:00,2026-08-24T01:30:00,PACKING,PACKING,MEA,SAME_DAY
ORD-000026,DC-09,EXPEDITE,2026-08-24T21:00:00,2026-08-25T21:00:00,PACKING,HOLD,APAC,SAME_DAY
ORD-000027,DC-18,STANDARD,2026-08-01T07:44:00,2026-08-01T11:44:00,RELEASED,RELEASED,EU,NEXT_DAY
ORD-000028,DC-13,STANDARD,2026-08-02T08:32:00,2026-08-02T16:32:00,PACKING,HOLD,LATAM,NEXT_DAY
ORD-000029,DC-04,STANDARD,2026-08-20T19:47:00,2026-08-21T07:47:00,STAGED,STAGED,EU,NEXT_DAY
ORD-000030,DC-09,STANDARD,2026-09-01T15:47:00,2026-09-01T23:47:00,EXCEPTION,HOLD,LATAM,NEXT_DAY
ORD-000031,DC-09,STANDARD,2026-08-06T10:53:00,2026-08-06T18:53:00,PACKING,EXCEPTION,EU,SAME_DAY
ORD-000032,DC-04,STANDARD,2026-08-25T12:51:00,2026-08-25T18:51:00,EXCEPTION,EXCEPTION,LATAM,NEXT_DAY
ORD-000033,DC-12,STANDARD,2026-08-06T06:05:00,2026-08-06T12:05:00,SHIPPED,SHIPPED,EU,NEXT_DAY
ORD-000034,DC-07,STANDARD,2026-08-11T03:53:00,2026-08-12T03:53:00,RELEASED,RELEASED,MEA,SAME_DAY
ORD-000035,DC-11,EXPEDITE,2026-08-27T13:44:00,2026-08-28T01:44:00,STAGED,STAGED,APAC,NEXT_DAY
ORD-000036,DC-08,STANDARD,2026-08-12T16:34:00,2026-08-13T16:34:00,PACKING,PACKING,NA,NEXT_DAY
ORD-000037,DC-17,STANDARD,2026-08-27T19:56:00,2026-08-27T23:56:00,RELEASED,HOLD,APAC,STANDARD
ORD-000038,DC-13,STANDARD,2026-09-04T00:41:00,2026-09-04T06:41:00,ALLOCATED,ALLOCATED,NA,NEXT_DAY
