warehouse_id,camera_id,observed_entity,observed_zone,event_time,confidence,classification
DC-01,DC-01-CAM-18,RBT-0001,DC-01-Z08,2026-08-30T06:19:00,0.566,ROBOT
DC-01,DC-01-CAM-04,RBT-0002,DC-01-Z09,2026-08-16T06:59:00,0.766,ROBOT
DC-01,DC-01-CAM-09,RBT-0004,DC-01-Z11,2026-09-03T07:32:00,0.627,ROBOT
DC-01,DC-01-CAM-17,RBT-0007,DC-01-Z03,2026-08-01T07:05:00,0.732,ROBOT
DC-01,DC-01-CAM-13,RBT-0008,DC-01-Z12,2026-08-27T06:17:00,0.641,ROBOT
DC-01,DC-01-CAM-10,RBT-0009,DC-01-Z03,2026-08-31T07:50:00,0.576,ROBOT
DC-01,DC-01-CAM-17,RBT-0013,DC-01-Z06,2026-08-03T07:47:00,0.821,ROBOT
DC-01,DC-01-CAM-03,RBT-0019,DC-01-Z05,2026-08-08T06:48:00,0.836,ROBOT
DC-01,DC-01-CAM-01,RBT-0021,DC-01-Z06,2026-08-24T07:19:00,0.645,ROBOT
DC-01,DC-01-CAM-30,RBT-0022,DC-01-Z05,2026-08-14T06:52:00,0.985,ROBOT
DC-01,DC-01-CAM-23,RBT-0026,DC-01-Z05,2026-08-19T06:35:00,0.795,ROBOT
DC-01,DC-01-CAM-27,RBT-0029,DC-01-Z03,2026-08-14T07:38:00,0.786,ROBOT
DC-01,DC-01-CAM-23,RBT-0032,DC-01-Z05,2026-08-31T07:53:00,0.841,ROBOT
DC-01,DC-01-CAM-19,RBT-0038,DC-01-Z09,2026-08-07T07:35:00,0.95,ROBOT
DC-01,DC-01-CAM-18,RBT-0039,DC-01-Z04,2026-08-01T07:45:00,0.878,ROBOT
DC-01,DC-01-CAM-05,RBT-0042,DC-01-Z09,2026-08-09T06:10:00,0.91,ROBOT
DC-02,DC-02-CAM-16,RBT-0043,DC-02-Z09,2026-08-26T06:40:00,0.957,ROBOT
