robot_id,source,alias
RBT-0001,WMS,BOT-COLLISION-00
RBT-0001,FLEET,BOT-COLLISION-00
RBT-0001,CMMS,BOT-COLLISION-01
RBT-0002,WMS,BOT-COLLISION-01
RBT-0002,FLEET,BOT-COLLISION-02
RBT-0002,CMMS,BOT-COLLISION-02
RBT-0003,WMS,BOT-COLLISION-03
RBT-0003,FLEET,BOT-COLLISION-03
RBT-0003,CMMS,BOT-COLLISION-04
RBT-0004,WMS,BOT-COLLISION-04
RBT-0004,FLEET,BOT-COLLISION-05
RBT-0004,CMMS,BOT-COLLISION-05
RBT-0005,WMS,BOT-COLLISION-4
RBT-0005,FLEET,DC-01-AMR-005
RBT-0005,CMMS,ASSET-100005
RBT-0006,WMS,BOT-COLLISION-5
RBT-0006,FLEET,DC-01-CASE_PICKER-006
RBT-0006,CMMS,ASSET-100006
RBT-0007,WMS,BOT0007
RBT-0007,FLEET,DC-01-FORK_AMR-007
RBT-0007,CMMS,ASSET-100007
RBT-0008,WMS,BOT0008
RBT-0008,FLEET,DC-01-PALLET_MOVER-008
RBT-0008,CMMS,ASSET-100008
RBT-0009,WMS,BOT0009
RBT-0009,FLEET,DC-01-FORK_AMR-009
RBT-0009,CMMS,ASSET-100009
RBT-0010,WMS,BOT0010
RBT-0010,FLEET,DC-01-TUGGER-010
RBT-0010,CMMS,ASSET-100010
RBT-0011,WMS,BOT0011
RBT-0011,FLEET,DC-01-FORK_AMR-011
RBT-0011,CMMS,ASSET-100011
RBT-0012,WMS,BOT0012
RBT-0012,FLEET,DC-01-PALLET_MOVER-012
RBT-0012,CMMS,ASSET-100012
RBT-0013,WMS,BOT0013
RBT-0013,FLEET,DC-01-AGV-013
RBT-0013,CMMS,ASSET-100013
RBT-0014,WMS,BOT0014
RBT-0014,FLEET,DC-01-PALLET_MOVER-014
RBT-0014,CMMS,ASSET-100014
RBT-0015,WMS,BOT0015
RBT-0015,FLEET,DC-01-FORK_AMR-015
RBT-0015,CMMS,ASSET-100015
RBT-0016,WMS,BOT0016
RBT-0016,FLEET,DC-01-FORK_AMR-016
RBT-0016,CMMS,ASSET-100016
RBT-0017,WMS,BOT0017
RBT-0017,FLEET,DC-01-PALLET_MOVER-017
RBT-0017,CMMS,ASSET-100017
RBT-0018,WMS,BOT0018
RBT-0018,FLEET,DC-01-CASE_PICKER-018
RBT-0018,CMMS,ASSET-100018
RBT-0019,WMS,BOT0019
RBT-0019,FLEET,DC-01-FORK_AMR-019
RBT-0019,CMMS,ASSET-100019
RBT-0020,WMS,BOT0020
RBT-0020,FLEET,DC-01-TUGGER-020
RBT-0020,CMMS,ASSET-100020
