shipment_id,order_id,warehouse_id,tms_status,carrier,planned_departure,actual_departure
SHP-000001,ORD-000001,DC-17,AT_DOCK,Carrier-D,2026-08-17T04:23:00,
SHP-000002,ORD-000002,DC-13,BOOKED,Carrier-A,2026-08-08T01:31:00,
SHP-000003,ORD-000003,DC-10,PLANNED,Carrier-D,2026-08-04T12:09:00,2026-08-04T12:23:00
SHP-000004,ORD-000004,DC-16,DELAYED,Carrier-A,2026-09-03T20:16:00,
SHP-000005,ORD-000005,DC-02,PLANNED,Carrier-A,2026-08-02T18:29:00,
SHP-000006,ORD-000006,DC-12,BOOKED,Carrier-D,2026-08-23T03:44:00,2026-08-23T04:03:00
SHP-000007,ORD-000007,DC-09,PLANNED,Carrier-B,2026-08-10T21:27:00,
SHP-000008,ORD-000008,DC-09,PLANNED,Carrier-D,2026-08-08T12:59:00,2026-08-08T13:07:00
SHP-000009,ORD-000009,DC-13,DEPARTED,Carrier-D,2026-08-22T06:41:00,2026-08-22T06:39:00
SHP-000010,ORD-000010,DC-13,PLANNED,Carrier-C,2026-09-01T17:57:00,2026-09-01T19:03:00
SHP-000011,ORD-000011,DC-14,DELAYED,Carrier-C,2026-08-11T20:26:00,2026-08-11T20:46:00
SHP-000012,ORD-000012,DC-10,DEPARTED,Carrier-C,2026-08-14T06:15:00,2026-08-14T06:45:00
SHP-000013,ORD-000013,DC-18,AT_DOCK,Carrier-D,2026-08-06T15:44:00,
SHP-000014,ORD-000014,DC-05,LOADED,Carrier-C,2026-08-26T15:03:00,2026-08-26T15:13:00
SHP-000015,ORD-000015,DC-10,AT_DOCK,Carrier-A,2026-08-30T09:17:00,
SHP-000016,ORD-000016,DC-09,LOADED,Carrier-A,2026-08-04T13:53:00,
SHP-000017,ORD-000017,DC-09,DEPARTED,Carrier-D,2026-08-10T11:22:00,2026-08-10T11:16:00
SHP-000018,ORD-000018,DC-04,PLANNED,Carrier-D,2026-08-04T19:44:00,2026-08-04T20:33:00
SHP-000019,ORD-000019,DC-01,LOADED,Carrier-D,2026-08-27T15:51:00,2026-08-27T15:32:00
SHP-000020,ORD-000020,DC-14,LOADED,Carrier-B,2026-08-21T17:49:00,2026-08-21T17:58:00
SHP-000021,ORD-000021,DC-05,PLANNED,Carrier-D,2026-08-26T02:20:00,
SHP-000022,ORD-000022,DC-09,PLANNED,Carrier-D,2026-08-11T19:31:00,
SHP-000023,ORD-000023,DC-16,DEPARTED,Carrier-D,2026-09-01T13:49:00,2026-09-01T13:53:00
SHP-000024,ORD-000024,DC-10,DEPARTED,Carrier-D,2026-08-11T05:53:00,2026-08-11T05:47:00
SHP-000025,ORD-000025,DC-15,DELAYED,Carrier-A,2026-08-24T01:30:00,2026-08-24T02:37:00
SHP-000026,ORD-000026,DC-09,LOADED,Carrier-A,2026-08-25T21:00:00,2026-08-25T21:58:00
SHP-000027,ORD-000027,DC-18,DELAYED,Carrier-A,2026-08-01T11:44:00,2026-08-01T12:15:00
SHP-000028,ORD-000028,DC-13,PLANNED,Carrier-D,2026-08-02T16:32:00,
SHP-000029,ORD-000029,DC-04,DEPARTED,Carrier-B,2026-08-21T07:47:00,2026-08-21T07:41:00
SHP-000030,ORD-000030,DC-09,BOOKED,Carrier-C,2026-09-01T23:47:00,2026-09-01T23:31:00
SHP-000031,ORD-000031,DC-09,BOOKED,Carrier-B,2026-08-06T18:53:00,2026-08-06T18:50:00
SHP-000032,ORD-000032,DC-04,DELAYED,Carrier-A,2026-08-25T18:51:00,2026-08-25T19:51:00
SHP-000033,ORD-000033,DC-12,DELAYED,Carrier-B,2026-08-06T12:05:00,2026-08-06T13:02:00
SHP-000034,ORD-000034,DC-07,DELAYED,Carrier-C,2026-08-12T03:53:00,2026-08-12T04:23:00
SHP-000035,ORD-000035,DC-11,DEPARTED,Carrier-C,2026-08-28T01:44:00,
SHP-000036,ORD-000036,DC-08,PLANNED,Carrier-C,2026-08-13T16:34:00,
SHP-000037,ORD-000037,DC-17,BOOKED,Carrier-D,2026-08-27T23:56:00,2026-08-28T00:44:00
SHP-000038,ORD-000038,DC-13,DEPARTED,Carrier-B,2026-09-04T06:41:00,
SHP-000039,ORD-000039,DC-14,PLANNED,Carrier-C,2026-08-11T10:02:00,
SHP-000040,ORD-000040,DC-04,AT_DOCK,Carrier-A,2026-08-22T09:25:00,
SHP-000041,ORD-000041,DC-01,DELAYED,Carrier-C,2026-08-29T15:46:00,
SHP-000042,ORD-000042,DC-11,PLANNED,Carrier-A,2026-08-15T09:00:00,
SHP-000043,ORD-000043,DC-09,BOOKED,Carrier-D,2026-09-05T09:55:00,2026-09-05T10:09:00
SHP-000044,ORD-000044,DC-03,PLANNED,Carrier-D,2026-09-03T22:47:00,2026-09-03T23:23:00
SHP-000045,ORD-000045,DC-01,DEPARTED,Carrier-C,2026-08-12T09:46:00,
SHP-000046,ORD-000046,DC-09,BOOKED,Carrier-B,2026-08-12T02:02:00,2026-08-12T02:58:00
SHP-000047,ORD-000047,DC-12,BOOKED,Carrier-A,2026-09-04T19:08:00,
SHP-000048,ORD-000048,DC-06,BOOKED,Carrier-A,2026-08-12T20:56:00,
SHP-000049,ORD-000049,DC-07,LOADED,Carrier-A,2026-08-05T00:56:00,2026-08-05T02:09:00
SHP-000050,ORD-000050,DC-15,PLANNED,Carrier-B,2026-08-17T06:56:00,2026-08-17T06:55:00
SHP-000051,ORD-000051,DC-02,DELAYED,Carrier-D,2026-08-19T22:50:00,2026-08-19T23:09:00
SHP-000052,ORD-000052,DC-13,BOOKED,Carrier-A,2026-08-09T07:32:00,2026-08-09T08:39:00
SHP-000053,ORD-000053,DC-06,PLANNED,Carrier-A,2026-08-07T19:46:00,
SHP-000054,ORD-000054,DC-05,LOADED,Carrier-B,2026-08-11T17:44:00,
SHP-000055,ORD-000055,DC-02,AT_DOCK,Carrier-A,2026-08-01T23:00:00,2026-08-01T23:32:00
SHP-000056,ORD-000056,DC-02,LOADED,Carrier-B,2026-08-09T14:01:00,
SHP-000057,ORD-000057,DC-13,PLANNED,Carrier-B,2026-08-27T16:41:00,
SHP-000058,ORD-000058,DC-16,LOADED,Carrier-C,2026-08-09T14:09:00,2026-08-09T14:04:00
SHP-000059,ORD-000059,DC-14,PLANNED,Carrier-D,2026-08-05T15:20:00,2026-08-05T15:46:00
SHP-000060,ORD-000060,DC-04,BOOKED,Carrier-C,2026-09-01T04:10:00,
SHP-000061,ORD-000061,DC-10,DEPARTED,Carrier-A,2026-08-26T13:51:00,
SHP-000062,ORD-000062,DC-01,LOADED,Carrier-D,2026-08-24T02:07:00,
SHP-000063,ORD-000063,DC-01,LOADED,Carrier-C,2026-08-28T22:54:00,
SHP-000064,ORD-000064,DC-02,LOADED,Carrier-B,2026-08-24T00:04:00,
SHP-000065,ORD-000065,DC-13,AT_DOCK,Carrier-A,2026-08-30T07:41:00,
SHP-000066,ORD-000066,DC-08,DEPARTED,Carrier-A,2026-08-07T15:37:00,
SHP-000067,ORD-000067,DC-16,PLANNED,Carrier-D,2026-08-10T13:03:00,2026-08-10T13:18:00
SHP-000068,ORD-000068,DC-06,PLANNED,Carrier-B,2026-08-06T17:42:00,
SHP-000069,ORD-000069,DC-15,AT_DOCK,Carrier-C,2026-08-17T08:29:00,
SHP-000070,ORD-000070,DC-02,LOADED,Carrier-A,2026-08-08T15:32:00,
SHP-000071,ORD-000071,DC-12,DELAYED,Carrier-B,2026-08-12T05:58:00,
SHP-000072,ORD-000072,DC-09,AT_DOCK,Carrier-D,2026-08-12T23:18:00,2026-08-12T23:05:00
SHP-000073,ORD-000073,DC-16,PLANNED,Carrier-D,2026-08-26T19:01:00,
SHP-000074,ORD-000074,DC-03,PLANNED,Carrier-B,2026-08-23T19:09:00,
SHP-000075,ORD-000075,DC-04,LOADED,Carrier-D,2026-08-09T03:31:00,2026-08-09T04:19:00
SHP-000076,ORD-000076,DC-09,AT_DOCK,Carrier-B,2026-09-05T20:04:00,2026-09-05T21:07:00
SHP-000077,ORD-000077,DC-17,BOOKED,Carrier-D,2026-08-29T19:32:00,
SHP-000078,ORD-000078,DC-12,BOOKED,Carrier-C,2026-08-31T17:59:00,2026-08-31T18:26:00
SHP-000079,ORD-000079,DC-08,AT_DOCK,Carrier-A,2026-08-02T20:33:00,2026-08-02T21:25:00
SHP-000080,ORD-000080,DC-09,AT_DOCK,Carrier-A,2026-08-03T08:15:00,
SHP-000081,ORD-000081,DC-17,AT_DOCK,Carrier-D,2026-08-17T10:54:00,
SHP-000082,ORD-000082,DC-17,BOOKED,Carrier-C,2026-08-22T07:11:00,
SHP-000083,ORD-000083,DC-17,PLANNED,Carrier-C,2026-08-11T14:46:00,
SHP-000084,ORD-000084,DC-16,DELAYED,Carrier-C,2026-08-25T16:27:00,
SHP-000085,ORD-000085,DC-15,LOADED,Carrier-C,2026-08-15T05:00:00,
SHP-000086,ORD-000086,DC-10,LOADED,Carrier-B,2026-08-20T09:37:00,
SHP-000087,ORD-000087,DC-06,DELAYED,Carrier-D,2026-08-01T14:39:00,2026-08-01T15:04:00
SHP-000088,ORD-000088,DC-17,PLANNED,Carrier-B,2026-08-11T14:41:00,
SHP-000089,ORD-000089,DC-08,DEPARTED,Carrier-A,2026-08-27T18:23:00,2026-08-27T18:22:00
SHP-000090,ORD-000090,DC-13,BOOKED,Carrier-C,2026-09-03T07:14:00,
SHP-000091,ORD-000091,DC-03,DEPARTED,Carrier-D,2026-08-04T16:32:00,
SHP-000092,ORD-000092,DC-07,DEPARTED,Carrier-C,2026-08-14T16:04:00,2026-08-14T16:56:00
SHP-000093,ORD-000093,DC-15,DELAYED,Carrier-D,2026-08-06T19:47:00,
SHP-000094,ORD-000094,DC-10,LOADED,Carrier-A,2026-08-30T04:50:00,2026-08-30T05:56:00
SHP-000095,ORD-000095,DC-04,DEPARTED,Carrier-B,2026-08-03T03:31:00,
SHP-000096,ORD-000096,DC-14,DELAYED,Carrier-D,2026-08-09T20:39:00,2026-08-09T20:34:00
SHP-000097,ORD-000097,DC-10,AT_DOCK,Carrier-B,2026-08-30T16:27:00,2026-08-30T16:25:00
SHP-000098,ORD-000098,DC-09,DELAYED,Carrier-B,2026-08-23T17:35:00,
SHP-000099,ORD-000099,DC-07,BOOKED,Carrier-D,2026-08-28T07:36:00,
SHP-000100,ORD-000100,DC-11,LOADED,Carrier-B,2026-08-01T16:41:00,
SHP-000101,ORD-000101,DC-14,AT_DOCK,Carrier-A,2026-08-22T15:41:00,
SHP-000102,ORD-000102,DC-06,DELAYED,Carrier-A,2026-09-05T13:45:00,2026-09-05T13:52:00
SHP-000103,ORD-000103,DC-04,DELAYED,Carrier-D,2026-08-27T19:01:00,
SHP-000104,ORD-000104,DC-04,BOOKED,Carrier-B,2026-08-19T06:59:00,
SHP-000105,ORD-000105,DC-15,LOADED,Carrier-A,2026-08-04T17:19:00,2026-08-04T18:00:00
SHP-000106,ORD-000106,DC-12,DELAYED,Carrier-C,2026-08-11T07:43:00,
SHP-000107,ORD-000107,DC-01,DELAYED,Carrier-D,2026-08-18T12:45:00,
SHP-000108,ORD-000108,DC-02,AT_DOCK,Carrier-D,2026-08-30T13:52:00,
SHP-000109,ORD-000109,DC-01,PLANNED,Carrier-C,2026-08-18T14:42:00,
SHP-000110,ORD-000110,DC-02,DEPARTED,Carrier-A,2026-08-23T11:03:00,
SHP-000111,ORD-000111,DC-18,DELAYED,Carrier-D,2026-08-10T14:20:00,2026-08-10T15:24:00
SHP-000112,ORD-000112,DC-14,AT_DOCK,Carrier-C,2026-08-25T04:07:00,2026-08-25T04:18:00
SHP-000113,ORD-000113,DC-18,LOADED,Carrier-C,2026-08-20T15:23:00,
SHP-000114,ORD-000114,DC-09,BOOKED,Carrier-D,2026-08-15T00:47:00,
SHP-000115,ORD-000115,DC-14,DEPARTED,Carrier-B,2026-08-24T10:16:00,
SHP-000116,ORD-000116,DC-09,BOOKED,Carrier-A,2026-09-02T01:36:00,2026-09-02T01:33:00
SHP-000117,ORD-000117,DC-12,LOADED,Carrier-D,2026-08-26T11:23:00,
SHP-000118,ORD-000118,DC-16,BOOKED,Carrier-A,2026-08-22T03:48:00,2026-08-22T04:13:00
SHP-000119,ORD-000119,DC-17,AT_DOCK,Carrier-C,2026-08-26T09:20:00,2026-08-26T09:44:00
SHP-000120,ORD-000120,DC-01,DELAYED,Carrier-A,2026-08-10T22:34:00,2026-08-10T22:42:00
SHP-000121,ORD-000121,DC-16,PLANNED,Carrier-D,2026-08-18T04:24:00,2026-08-18T05:17:00
SHP-000122,ORD-000122,DC-18,DEPARTED,Carrier-D,2026-08-20T17:51:00,2026-08-20T18:44:00
SHP-000123,ORD-000123,DC-18,AT_DOCK,Carrier-C,2026-09-04T15:24:00,2026-09-04T15:45:00
SHP-000124,ORD-000124,DC-14,BOOKED,Carrier-C,2026-08-18T17:11:00,2026-08-18T17:51:00
SHP-000125,ORD-000125,DC-01,BOOKED,Carrier-B,2026-09-04T23:37:00,
SHP-000126,ORD-000126,DC-03,DEPARTED,Carrier-B,2026-08-10T02:44:00,2026-08-10T03:16:00
SHP-000127,ORD-000127,DC-12,LOADED,Carrier-C,2026-08-22T06:41:00,
SHP-000128,ORD-000128,DC-12,PLANNED,Carrier-B,2026-08-18T14:27:00,
SHP-000129,ORD-000129,DC-18,DEPARTED,Carrier-A,2026-08-19T09:09:00,2026-08-19T09:05:00
SHP-000130,ORD-000130,DC-01,DELAYED,Carrier-D,2026-08-04T12:38:00,
SHP-000131,ORD-000131,DC-09,LOADED,Carrier-C,2026-08-08T17:31:00,
SHP-000132,ORD-000132,DC-02,DEPARTED,Carrier-D,2026-08-24T03:17:00,
SHP-000133,ORD-000133,DC-03,PLANNED,Carrier-A,2026-08-23T03:59:00,2026-08-23T04:17:00
SHP-000134,ORD-000134,DC-11,DELAYED,Carrier-C,2026-08-07T14:51:00,2026-08-07T15:53:00
SHP-000135,ORD-000135,DC-10,LOADED,Carrier-D,2026-08-09T10:15:00,
SHP-000136,ORD-000136,DC-06,PLANNED,Carrier-D,2026-09-01T19:13:00,
SHP-000137,ORD-000137,DC-13,DELAYED,Carrier-C,2026-08-12T08:20:00,
SHP-000138,ORD-000138,DC-18,LOADED,Carrier-A,2026-09-04T09:32:00,2026-09-04T10:25:00
SHP-000139,ORD-000139,DC-05,AT_DOCK,Carrier-D,2026-08-05T18:52:00,
SHP-000140,ORD-000140,DC-02,DELAYED,Carrier-D,2026-09-02T09:41:00,2026-09-02T09:40:00
SHP-000141,ORD-000141,DC-15,LOADED,Carrier-B,2026-08-03T17:12:00,2026-08-03T18:04:00
SHP-000142,ORD-000142,DC-10,LOADED,Carrier-C,2026-08-10T18:18:00,2026-08-10T18:59:00
SHP-000143,ORD-000143,DC-16,DEPARTED,Carrier-A,2026-08-15T12:26:00,
SHP-000144,ORD-000144,DC-03,LOADED,Carrier-B,2026-08-17T06:22:00,2026-08-17T07:05:00
SHP-000145,ORD-000145,DC-01,PLANNED,Carrier-B,2026-08-15T09:10:00,
SHP-000146,ORD-000146,DC-11,LOADED,Carrier-B,2026-08-19T13:57:00,
SHP-000147,ORD-000147,DC-16,DEPARTED,Carrier-B,2026-08-23T11:38:00,2026-08-23T12:27:00
SHP-000148,ORD-000148,DC-02,LOADED,Carrier-A,2026-08-30T12:49:00,
SHP-000149,ORD-000149,DC-07,PLANNED,Carrier-B,2026-08-23T03:42:00,
SHP-000150,ORD-000150,DC-15,LOADED,Carrier-C,2026-08-19T10:35:00,
SHP-000151,ORD-000151,DC-01,DEPARTED,Carrier-D,2026-08-17T00:53:00,
SHP-000152,ORD-000152,DC-10,AT_DOCK,Carrier-C,2026-08-17T22:25:00,
SHP-000153,ORD-000153,DC-02,DEPARTED,Carrier-A,2026-08-26T00:32:00,2026-08-26T00:37:00
SHP-000154,ORD-000154,DC-08,DELAYED,Carrier-B,2026-08-13T12:22:00,2026-08-13T12:24:00
SHP-000155,ORD-000155,DC-16,LOADED,Carrier-B,2026-08-27T14:14:00,
SHP-000156,ORD-000156,DC-03,BOOKED,Carrier-C,2026-08-23T17:55:00,2026-08-23T18:45:00
SHP-000157,ORD-000157,DC-10,PLANNED,Carrier-A,2026-08-07T05:41:00,
SHP-000158,ORD-000158,DC-03,BOOKED,Carrier-D,2026-08-03T07:31:00,
SHP-000159,ORD-000159,DC-13,LOADED,Carrier-D,2026-08-04T03:26:00,2026-08-04T03:48:00
SHP-000160,ORD-000160,DC-04,LOADED,Carrier-A,2026-08-03T03:14:00,
SHP-000161,ORD-000161,DC-01,DEPARTED,Carrier-A,2026-08-15T03:31:00,2026-08-15T04:24:00
SHP-000162,ORD-000162,DC-12,BOOKED,Carrier-D,2026-08-16T23:09:00,
SHP-000163,ORD-000163,DC-03,PLANNED,Carrier-B,2026-08-21T06:11:00,
SHP-000164,ORD-000164,DC-18,AT_DOCK,Carrier-D,2026-08-28T21:58:00,2026-08-28T22:25:00
SHP-000165,ORD-000165,DC-15,BOOKED,Carrier-C,2026-08-27T19:08:00,
SHP-000166,ORD-000166,DC-05,BOOKED,Carrier-D,2026-08-08T02:10:00,2026-08-08T02:01:00
SHP-000167,ORD-000167,DC-17,PLANNED,Carrier-B,2026-09-04T01:27:00,2026-09-04T02:38:00
SHP-000168,ORD-000168,DC-15,PLANNED,Carrier-B,2026-09-02T06:56:00,
SHP-000169,ORD-000169,DC-13,DELAYED,Carrier-D,2026-08-05T19:18:00,
SHP-000170,ORD-000170,DC-07,DELAYED,Carrier-C,2026-08-21T02:52:00,2026-08-21T04:03:00
SHP-000171,ORD-000171,DC-03,PLANNED,Carrier-A,2026-08-01T16:36:00,2026-08-01T16:30:00
SHP-000172,ORD-000172,DC-16,LOADED,Carrier-A,2026-08-07T15:54:00,
SHP-000173,ORD-000173,DC-08,BOOKED,Carrier-D,2026-08-23T00:10:00,2026-08-23T00:08:00
SHP-000174,ORD-000174,DC-12,PLANNED,Carrier-A,2026-08-01T22:16:00,
SHP-000175,ORD-000175,DC-17,AT_DOCK,Carrier-C,2026-08-17T08:13:00,2026-08-17T09:05:00
SHP-000176,ORD-000176,DC-17,AT_DOCK,Carrier-C,2026-08-12T20:41:00,
SHP-000177,ORD-000177,DC-03,AT_DOCK,Carrier-C,2026-08-22T21:47:00,2026-08-22T21:53:00
SHP-000178,ORD-000178,DC-07,DEPARTED,Carrier-C,2026-08-07T06:27:00,
SHP-000179,ORD-000179,DC-03,DELAYED,Carrier-A,2026-08-31T15:43:00,
SHP-000180,ORD-000180,DC-09,DEPARTED,Carrier-D,2026-08-23T11:23:00,2026-08-23T11:26:00
SHP-000181,ORD-000181,DC-18,DEPARTED,Carrier-A,2026-09-04T13:05:00,
SHP-000182,ORD-000182,DC-04,DELAYED,Carrier-B,2026-08-27T03:18:00,2026-08-27T04:24:00
SHP-000183,ORD-000183,DC-05,PLANNED,Carrier-A,2026-08-20T12:48:00,
SHP-000184,ORD-000184,DC-07,PLANNED,Carrier-D,2026-08-04T11:44:00,
SHP-000185,ORD-000185,DC-16,AT_DOCK,Carrier-A,2026-08-19T20:06:00,
SHP-000186,ORD-000186,DC-15,DELAYED,Carrier-A,2026-08-26T18:01:00,
SHP-000187,ORD-000187,DC-10,BOOKED,Carrier-C,2026-08-12T23:45:00,2026-08-13T00:15:00
SHP-000188,ORD-000188,DC-13,DEPARTED,Carrier-B,2026-08-15T08:34:00,
SHP-000189,ORD-000189,DC-14,DELAYED,Carrier-D,2026-08-06T21:28:00,2026-08-06T22:25:00
SHP-000190,ORD-000190,DC-03,DELAYED,Carrier-D,2026-08-20T17:41:00,
SHP-000191,ORD-000191,DC-02,PLANNED,Carrier-C,2026-08-25T11:29:00,
SHP-000192,ORD-000192,DC-18,DEPARTED,Carrier-A,2026-08-21T10:24:00,
SHP-000193,ORD-000193,DC-16,PLANNED,Carrier-B,2026-08-20T17:44:00,2026-08-20T18:12:00
SHP-000194,ORD-000194,DC-07,DELAYED,Carrier-B,2026-09-01T12:07:00,
SHP-000195,ORD-000195,DC-07,DELAYED,Carrier-B,2026-08-07T03:17:00,2026-08-07T03:31:00
SHP-000196,ORD-000196,DC-03,PLANNED,Carrier-D,2026-08-23T15:48:00,
SHP-000197,ORD-000197,DC-02,DELAYED,Carrier-A,2026-08-06T17:25:00,
SHP-000198,ORD-000198,DC-06,PLANNED,Carrier-D,2026-08-02T11:39:00,2026-08-02T11:20:00
SHP-000199,ORD-000199,DC-14,DEPARTED,Carrier-D,2026-08-12T15:09:00,
SHP-000200,ORD-000200,DC-17,BOOKED,Carrier-B,2026-08-04T01:06:00,
SHP-000201,ORD-000201,DC-16,DELAYED,Carrier-C,2026-08-05T05:05:00,
SHP-000202,ORD-000202,DC-13,DELAYED,Carrier-D,2026-08-12T10:14:00,
SHP-000203,ORD-000203,DC-10,AT_DOCK,Carrier-C,2026-08-26T12:12:00,2026-08-26T12:36:00
SHP-000204,ORD-000204,DC-15,LOADED,Carrier-A,2026-08-03T10:01:00,
SHP-000205,ORD-000205,DC-10,DEPARTED,Carrier-A,2026-08-25T10:26:00,2026-08-25T11:00:00
SHP-000206,ORD-000206,DC-06,DEPARTED,Carrier-C,2026-08-04T02:46:00,
SHP-000207,ORD-000207,DC-05,DEPARTED,Carrier-A,2026-08-07T08:41:00,
SHP-000208,ORD-000208,DC-08,DELAYED,Carrier-D,2026-08-29T17:53:00,
SHP-000209,ORD-000209,DC-01,LOADED,Carrier-A,2026-08-12T14:55:00,
SHP-000210,ORD-000210,DC-18,AT_DOCK,Carrier-C,2026-08-27T20:14:00,
SHP-000211,ORD-000211,DC-06,AT_DOCK,Carrier-D,2026-08-07T09:21:00,2026-08-07T09:17:00
SHP-000212,ORD-000212,DC-07,AT_DOCK,Carrier-B,2026-08-03T08:49:00,2026-08-03T09:33:00
SHP-000213,ORD-000213,DC-09,PLANNED,Carrier-C,2026-08-10T06:42:00,
SHP-000214,ORD-000214,DC-01,LOADED,Carrier-B,2026-08-11T19:48:00,2026-08-11T20:37:00
SHP-000215,ORD-000215,DC-06,LOADED,Carrier-C,2026-08-27T03:21:00,2026-08-27T04:31:00
